bac,method,nsnp,beta,se,p_value,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,method_status,method_status_zh
class.Actinobacteria.id.419,Inverse variance weighted,10,-0.0279447783246813,0.0940693602721969,0.766416366869497,-0.212320724458187,0.156431167808825,0.972442065198566,0.808705284404477,1.16933027198408,OK,方法成功运行
class.Actinobacteria.id.419,Weighted median,10,0.0947336630256057,0.127241428824796,0.456562542969301,-0.154659537470995,0.344126863522207,1.09936601431266,0.85670680440202,1.41075759783338,OK,方法成功运行
class.Actinobacteria.id.419,MR Egger,10,0.200162234443805,0.317929248289628,0.546523916504018,-0.422979092203865,0.823303561091476,1.22160092783184,0.6550923295055,2.27801297567641,OK,方法成功运行
class.Actinobacteria.id.419,Weighted mode,10,0.173917718880821,0.214217669533866,0.437809130326021,-0.245948913405556,0.593784351167199,1.18995765074486,0.781962171689432,1.81082827511586,OK,方法成功运行
class.Alphaproteobacteria.id.2379,Inverse variance weighted,6,0.0604116462088417,0.123869081153224,0.625758375099413,-0.182371752851477,0.30319504526916,1.06227373751198,0.833291504335233,1.35417856480835,OK,方法成功运行
class.Alphaproteobacteria.id.2379,Weighted median,6,0.00355139502779554,0.12813664272869,0.977888912437447,-0.247596424720437,0.254699214776028,1.00355770870302,0.780674940818637,1.29007352745454,OK,方法成功运行
class.Alphaproteobacteria.id.2379,MR Egger,6,-0.265272829954042,0.510738066436618,0.630903721718388,-1.26631944016981,0.73577378026173,0.766996661763128,0.281867143846029,2.08709632179455,OK,方法成功运行
class.Alphaproteobacteria.id.2379,Weighted mode,6,-0.03663025684375,0.206254274703217,0.8660097221241,-0.440888635262056,0.367628121574556,0.964032513885143,0.643464361822979,1.4443048332852,OK,方法成功运行
class.Bacilli.id.1673,Inverse variance weighted,17,-0.0748136395779743,0.0706364700617737,0.289537774505876,-0.213261120899051,0.0636338417431022,0.927916397107559,0.807945138308676,1.06570211168486,OK,方法成功运行
class.Bacilli.id.1673,Weighted median,17,-0.037475824985921,0.102465855026252,0.714559363545492,-0.238308900837375,0.163357250865533,0.963217703240894,0.787959252223642,1.17745726218509,OK,方法成功运行
class.Bacilli.id.1673,MR Egger,17,0.0901721519098685,0.186139578947361,0.635075955741363,-0.274661422826959,0.455005726646696,1.09436266411244,0.759829340548671,1.57618240924793,OK,方法成功运行
