bac,method,nsnp,beta,se,p_value,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,method_status,method_status_zh,fdr_bh,evidence_status,evidence_status_zh,selected_for_downstream,selection_rule,selection_rule_zh,mr_egger_beta,weighted_median_beta,weighted_mode_beta,mr_egger_se,weighted_median_se,weighted_mode_se,mr_egger_p_value,weighted_median_p_value,weighted_mode_p_value,mr_egger_odds_ratio,weighted_median_odds_ratio,weighted_mode_odds_ratio,mr_egger_or_ci_lower,weighted_median_or_ci_lower,weighted_mode_or_ci_lower,mr_egger_or_ci_upper,weighted_median_or_ci_upper,weighted_mode_or_ci_upper,mr_egger_method_status,weighted_median_method_status,weighted_mode_method_status,nsnp_sensitivity,f_min,f_median,f_mean,ivw_q,ivw_q_df,ivw_q_p,ivw_i2,egger_q,egger_q_df,egger_q_p,egger_i2,egger_intercept,egger_intercept_se,egger_intercept_p,loo_runs,loo_successful,loo_beta_min,loo_beta_max,max_abs_delta_beta,most_influential_omitted_rsid,any_direction_flip,all_loo_direction_concordant,rank,taxon_name,mibiogen_internal_id,strict_human_microbe_metabolite_rows,strict_unique_metabolites,strict_unique_non_gaba_metabolites,strict_causal_rows,strict_correlative_rows,strict_human_microbe_host_gene_rows,permissive_genus_to_species_rows,strict_covered,mr_presso_run_status,mr_presso_run_status_zh,mr_presso_global_p_text,mr_presso_global_p_numeric,mr_presso_global_test_significant,mr_presso_outlier_count,mr_presso_outlier_rsids,mr_presso_corrected_beta,mr_presso_corrected_p,direction_concordant_all_sensitivity_methods,nominal_supporting_sensitivity_method_count,no_ivw_heterogeneity_signal,no_egger_intercept_signal,no_mr_presso_global_signal,loo_direction_stable,robustness_status,robustness_status_zh,selected_iv_set_id,identical_selected_iv_set_group_size,identical_selected_iv_set_members,non_independent_identical_iv_set,gutmgene_pathway_priority,gutmgene_pathway_priority_zh
genus.Faecalibacterium.id.2057,Inverse variance weighted,9,-0.210471475388647,0.0830876667603212,0.0113050515963449,-0.373323302238877,-0.0476196485384175,0.810202165525628,0.688442621819601,0.95349638185886,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,-0.128223682497044,-0.162588729388386,-0.13191381888212,0.162761385358915,0.110761207846208,0.164849378849335,0.456655637437545,0.142125618393926,0.446699475644766,0.879656593353353,0.849940672163543,0.87641652238044,0.6393929951274,0.684079803236376,0.634436166420546,1.21020362770138,1.05601589577729,1.21069062792406,OK,OK,OK,9,18.2950043313922,20.6489260022112,21.1718979918317,4.07338754157879,8,0.850442184293542,0.0,3.7280332322459,7,0.810515463550762,0.0,-0.0092325490279298,0.0157104701839021,0.57521383233149,9,9,-0.259131622453634,-0.150379595639471,0.0600918797491765,rs75499067,False,True,genus,Faecalibacterium,2057,1,1,1,0,1,0,0,yes,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.842,0.842,False,0.0,,,,True,0,True,True,True,True,NOMINAL_DIRECTIONALLY_CONCORDANT,名义入选；三种敏感性方法方向一致，但均未达P<0.05，诊断未见警示,SELECTED_IVSET_005,1,genus.Faecalibacterium.id.2057,no,STRICT_NON_GABA_PRIORITY,严格同层级匹配到非GABA代谢物，可进入优先通路核查
genus.Flavonifractor.id.2059,Inverse variance weighted,4,-0.270367558373701,0.116475647247458,0.020274067221789,-0.498659826978717,-0.0420752897686839,0.763098959371045,0.607344060666625,0.958797590206139,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,-0.786080373557495,-0.285045234452457,-0.355633583933291,0.612172923728119,0.143767287498758,0.214463994748124,0.327776317078978,0.0474026338707012,0.195848772442787,0.455627188218001,0.751980238135706,0.700729331686325,0.137251632533662,0.56732149920505,0.460251125418178,1.51252215227769,0.996743961473334,1.06685582971563,OK,OK,OK,4,22.8784037960626,23.5335871999434,23.8265769500001,1.6004028163565,3,0.659298487249816,0.0,0.864058062867167,2,0.649190529479828,0.0,0.040203287679054,0.0468512272090344,0.481253485520981,4,4,-0.342789848433066,-0.217092362711491,0.0724222900593651,rs806808,False,True,genus,Flavonifractor,2059,0,0,0,0,0,0,19,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.716,0.716,False,0.0,,,,True,1,True,True,True,True,NOMINAL_WITH_MULTI_METHOD_SUPPORT,名义入选；至少一种稳健方法同向且P<0.05，敏感性诊断未见警示,SELECTED_IVSET_007,1,genus.Flavonifractor.id.2059,no,PERMISSIVE_SPECIES_EXPLORATORY,仅属到物种宽松匹配到非GABA代谢物，只作探索性候选
genus.LachnospiraceaeUCG001.id.11321,Inverse variance weighted,13,0.151315649455651,0.0685241751197858,0.0272297589239689,0.0170082662208707,0.285623032690431,1.16336381528731,1.01715373030788,1.33059077147578,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,0.183729191133977,0.130728903098139,0.0782397363474107,0.297028153530411,0.0924577197775647,0.165452309409772,0.548801878145212,0.15738195031483,0.644781132807299,1.20169035062671,1.1396587814646,1.08138187413782,0.671362540047451,0.950765121331115,0.781885639565633,2.15093874419518,1.36608096892633,1.49559820329155,OK,OK,OK,13,19.2876787281149,20.4242668592863,21.3640996671229,9.628720069893,12,0.648496322246633,0.0,9.61614212599406,11,0.565209586845082,0.0,-0.0029450862448229,0.026259907421347,0.91272374890381,13,13,0.124719727700495,0.189689091930003,0.038373442474352,rs2371284,False,True,genus,LachnospiraceaeUCG001,11321,0,0,0,0,0,0,0,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.667,0.667,False,0.0,,,,True,0,True,True,True,True,NOMINAL_DIRECTIONALLY_CONCORDANT,名义入选；三种敏感性方法方向一致，但均未达P<0.05，诊断未见警示,SELECTED_IVSET_008,1,genus.LachnospiraceaeUCG001.id.11321,no,NO_MATCHED_GUTMGENE_METABOLITE_EDGE,未匹配到可用的人源gutMGene微生物-代谢物边
genus.RuminococcaceaeUCG011.id.11368,Inverse variance weighted,8,-0.112453473563909,0.0511167765413438,0.0278116628588569,-0.212642355584942,-0.0122645915428747,0.893638923975582,0.808445221437055,0.987810312026704,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,-0.453820187472302,-0.147553966013982,-0.155954414068197,0.25900566674132,0.0658948374809053,0.0946461531452487,0.130300153689679,0.0251406892517975,0.143392718698279,0.635196939345026,0.862815874331412,0.855598192722897,0.382329952082357,0.758275996999047,0.710731274982209,1.05530615520904,0.981768163497881,1.0299930411941,OK,OK,OK,8,20.1716694464618,22.0542831039626,22.7390219312366,6.59904756256752,7,0.471784435098989,0.0,4.79154939630385,6,0.570813069230245,0.0,0.0462757424404208,0.0344202850460503,0.227406507614977,8,8,-0.150240114181201,-0.0860099848212737,0.0377866406172928,rs10274562,False,True,genus,RuminococcaceaeUCG011,11368,0,0,0,0,0,0,0,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.539,0.539,False,0.0,,,,True,1,True,True,True,True,NOMINAL_WITH_MULTI_METHOD_SUPPORT,名义入选；至少一种稳健方法同向且P<0.05，敏感性诊断未见警示,SELECTED_IVSET_004,1,genus.RuminococcaceaeUCG011.id.11368,no,NO_MATCHED_GUTMGENE_METABOLITE_EDGE,未匹配到可用的人源gutMGene微生物-代谢物边
genus.Methanobrevibacter.id.123,Inverse variance weighted,6,-0.143114449917951,0.0651161255053473,0.0279609207857775,-0.270742055908432,-0.01548684392747,0.866654874639916,0.76281323419703,0.984632460562589,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,-0.393269277870657,-0.151713073511182,-0.164206996551619,0.230763749529314,0.0769308772115011,0.116019805562593,0.163546692632243,0.0486016183444538,0.216126909147479,0.674847001753514,0.859234782594717,0.848566353390476,0.429314200106592,0.738970267072242,0.675970518582657,1.06080459407733,0.999071876796386,1.06523115477907,OK,OK,OK,6,19.3735371676709,21.1964282466391,21.3893548363891,6.11134512262544,5,0.295534863795747,0.181849511085704,4.63760052220328,4,0.326541931706629,0.137485003106814,0.0384904826899039,0.0341396383656827,0.322606597141932,6,6,-0.198252402974073,-0.105489730822628,0.0551379530561225,rs10202904,False,True,genus,Methanobrevibacter,123,0,0,0,0,0,0,3,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.346,0.346,False,0.0,,,,True,1,True,True,True,True,NOMINAL_WITH_MULTI_METHOD_SUPPORT,名义入选；至少一种稳健方法同向且P<0.05，敏感性诊断未见警示,SELECTED_IVSET_003,1,genus.Methanobrevibacter.id.123,no,PERMISSIVE_SPECIES_EXPLORATORY,仅属到物种宽松匹配到非GABA代谢物，只作探索性候选
genus.Butyrivibrio.id.1993,Inverse variance weighted,13,-0.0887736433433223,0.0409552481193136,0.0301909048212628,-0.169045929657177,-0.0085013570294676,0.915052678398756,0.844470116272365,0.991534677320278,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,-0.0441886780415761,-0.0254480901461039,0.0030687477710355,0.208062907107641,0.0526672827571485,0.0822954103157569,0.835693832512138,0.628963722685637,0.970867402741144,0.956773418306896,0.974872983166425,1.00307346119768,0.636359275868898,0.879258830596464,0.85365320018367,1.43851973042859,1.08088460443792,1.17864768543317,OK,OK,OK,13,19.9608547822967,20.8023057291312,21.5113264069054,13.3583376818856,12,0.343541978870703,0.101684634288561,13.3003772045994,11,0.274147108316738,0.172955786833167,-0.0063478134983504,0.0289930442475411,0.830704093738088,13,13,-0.10261460208952,-0.0598453649886298,0.0289282783546925,rs7763512,False,True,genus,Butyrivibrio,1993,0,0,0,0,0,0,0,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.365,0.365,False,0.0,,,,False,0,True,True,True,True,NOMINAL_IVW_ONLY_DIRECTION_DISCORDANCE,名义入选；至少一种敏感性方法方向不一致，诊断未见其他警示,SELECTED_IVSET_001,1,genus.Butyrivibrio.id.1993,no,NO_MATCHED_GUTMGENE_METABOLITE_EDGE,未匹配到可用的人源gutMGene微生物-代谢物边
class.Methanobacteria.id.119,Inverse variance weighted,10,-0.0923043087946192,0.0442411247025466,0.0369431696843185,-0.179016913211611,-0.0055917043776279,0.911827630154404,0.836091758280617,0.994423900102534,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,-0.264924226914355,-0.11157963028026,-0.148006145684269,0.185217091972007,0.0559869694217866,0.0995209436715828,0.190491724919378,0.0462661408669336,0.17113725930587,0.767264085740546,0.894420165638982,0.862425814728996,0.533684879672762,0.801464908361554,0.709590528823525,1.10307449150188,0.998156531066456,1.04817955665802,OK,OK,OK,10,19.8563535881858,21.1931835511524,22.0884994927597,5.39775309890189,9,0.798348963854157,0.0,4.47659724682965,8,0.811769888819531,0.0,0.0288494227367267,0.030058726011437,0.365276828532677,10,10,-0.11849003402191,-0.0772962749787441,0.0261857252272908,rs10202904,False,True,class,Methanobacteria,119,0,0,0,0,0,0,0,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.809,0.809,False,0.0,,,,True,1,True,True,True,True,NOMINAL_WITH_MULTI_METHOD_SUPPORT,名义入选；至少一种稳健方法同向且P<0.05，敏感性诊断未见警示,SELECTED_IVSET_002,3,class.Methanobacteria.id.119;family.Methanobacteriaceae.id.121;order.Methanobacteriales.id.120,yes,NO_MATCHED_GUTMGENE_METABOLITE_EDGE,未匹配到可用的人源gutMGene微生物-代谢物边
family.Methanobacteriaceae.id.121,Inverse variance weighted,10,-0.0923043087946192,0.0442411247025466,0.0369431696843185,-0.179016913211611,-0.0055917043776279,0.911827630154404,0.836091758280617,0.994423900102534,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,-0.264924226914355,-0.11157963028026,-0.148006145684269,0.185217091972007,0.054807899283701,0.0964569790410308,0.190491724919378,0.0417673103025486,0.159294681071038,0.767264085740546,0.894420165638982,0.862425814728996,0.533684879672762,0.80331921751637,0.713864704135261,1.10307449150188,0.995852477144756,1.04190371312999,OK,OK,OK,10,19.8563535881858,21.1931835511524,22.0884994927597,5.39775309890189,9,0.798348963854157,0.0,4.47659724682965,8,0.811769888819531,0.0,0.0288494227367267,0.030058726011437,0.365276828532677,10,10,-0.11849003402191,-0.0772962749787441,0.0261857252272908,rs10202904,False,True,family,Methanobacteriaceae,121,0,0,0,0,0,0,0,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.782,0.782,False,0.0,,,,True,1,True,True,True,True,NOMINAL_WITH_MULTI_METHOD_SUPPORT,名义入选；至少一种稳健方法同向且P<0.05，敏感性诊断未见警示,SELECTED_IVSET_002,3,class.Methanobacteria.id.119;family.Methanobacteriaceae.id.121;order.Methanobacteriales.id.120,yes,NO_MATCHED_GUTMGENE_METABOLITE_EDGE,未匹配到可用的人源gutMGene微生物-代谢物边
order.Methanobacteriales.id.120,Inverse variance weighted,10,-0.0923043087946192,0.0442411247025466,0.0369431696843185,-0.179016913211611,-0.0055917043776279,0.911827630154404,0.836091758280617,0.994423900102534,OK,方法成功运行,0.86611208926569,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,-0.264924226914355,-0.11157963028026,-0.148006145684269,0.185217091972007,0.0578132540207347,0.0946243613655366,0.190491724919378,0.0536067305512649,0.152222210020482,0.767264085740546,0.894420165638982,0.862425814728996,0.533684879672762,0.798601178887894,0.716433467289397,1.10307449150188,1.00173585245103,1.03816798051749,OK,OK,OK,10,19.8563535881858,21.1931835511524,22.0884994927597,5.39775309890189,9,0.798348963854157,0.0,4.47659724682965,8,0.811769888819531,0.0,0.0288494227367267,0.030058726011437,0.365276828532677,10,10,-0.11849003402191,-0.0772962749787441,0.0261857252272908,rs10202904,False,True,order,Methanobacteriales,120,0,0,0,0,0,0,0,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.811,0.811,False,0.0,,,,True,0,True,True,True,True,NOMINAL_DIRECTIONALLY_CONCORDANT,名义入选；三种敏感性方法方向一致，但均未达P<0.05，诊断未见警示,SELECTED_IVSET_002,3,class.Methanobacteria.id.119;family.Methanobacteriaceae.id.121;order.Methanobacteriales.id.120,yes,NO_MATCHED_GUTMGENE_METABOLITE_EDGE,未匹配到可用的人源gutMGene微生物-代谢物边
genus.Prevotella7.id.11182,Inverse variance weighted,11,0.0865148396224568,0.0429001824259506,0.0437315966631018,0.0024304820675935,0.17059919717732,1.09036754824048,1.0024334380835,1.18601529546835,OK,方法成功运行,0.922736689591449,NOMINAL_SUGGESTIVE,名义提示性（IVW P<0.05，但未通过BH-FDR）,yes,IVW nominal P<0.05; BH-FDR reported but not used as the selection gate,按用户指定规则：IVW名义P<0.05入选；BH-FDR仅报告，不作为入选门槛,0.446610818007488,0.106434248170117,0.137533025680344,0.25609963443136,0.0595906303909482,0.104997520641863,0.115144115732449,0.0740846350549553,0.219531503309689,1.5630058871571,1.11230478796602,1.14743960031978,0.946159172641439,0.989690127478353,0.934015622191845,2.5820046710191,1.25011042040449,1.40963127928452,OK,OK,OK,11,19.2385791138929,20.8914367945202,21.107415283727,9.74525388938303,10,0.463120229597647,0.0,7.71111999768462,9,0.563499988625529,0.0,-0.0510136198317114,0.0357681413746093,0.187554046582964,11,11,0.0652849870165239,0.109030779570278,0.0225159399478211,rs9608249,False,True,genus,Prevotella7,11182,0,0,0,0,0,0,0,no,OK_NO_GLOBAL_PLEIOTROPY,完成：MR-PRESSO全局检验未见显著水平多效性,0.476,0.476,False,0.0,,,,True,0,True,True,True,True,NOMINAL_DIRECTIONALLY_CONCORDANT,名义入选；三种敏感性方法方向一致，但均未达P<0.05，诊断未见警示,SELECTED_IVSET_006,1,genus.Prevotella7.id.11182,no,NO_MATCHED_GUTMGENE_METABOLITE_EDGE,未匹配到可用的人源gutMGene微生物-代谢物边
