bac,nsnp,f_min,f_median,f_mean,ivw_q,ivw_q_df,ivw_q_p,ivw_i2,egger_q,egger_q_df,egger_q_p,egger_i2,egger_intercept,egger_intercept_se,egger_intercept_p
class.Actinobacteria.id.419,10,19.5001578418758,20.2432076413001,21.6400110877588,8.21854984698383,9,0.512280701392979,0,7.65438601200314,8,0.46793751173257,0,-0.0147268753796663,0.0196068574066545,0.474100062274257
class.Alphaproteobacteria.id.2379,6,19.2554279984268,22.0727962000993,22.2613067711556,8.53857235758273,5,0.128945881387474,0.414422014523339,7.70020278225249,4,0.103198415368546,0.480533160864381,0.0317963039821243,0.0481814616955855,0.545363105891092
class.Bacilli.id.1673,17,19.0950382954307,21.5141670672761,21.5786119528158,12.4964011256637,16,0.709160455390654,0,11.5786077830933,15,0.710604190028704,0,-0.0131625946873257,0.0137394407895878,0.353242741892829
class.Bacteroidia.id.912,10,18.687182233009,20.2890917166195,20.591685523034,9.26083032650408,9,0.413554101097423,0.0281648963762561,7.91899501261017,8,0.441422749542959,0,0.0166617848115687,0.0143837429281152,0.280119222811642
class.Betaproteobacteria.id.2867,12,18.600689214147,21.3599187376764,21.6674323323739,11.2862915463567,11,0.419599802711199,0.0253663078949166,11.0741800347788,10,0.351767985530588,0.0969986067957485,-0.00942375350378771,0.0215326552997049,0.670941740879977
class.Clostridia.id.1859,12,18.4661980837462,21.6102730768804,21.8347667131978,19.3548394688507,11,0.055013913649411,0.431666688958946,16.4863682857635,10,0.0865304275686685,0.393438274174956,-0.0236707565948924,0.0179452450258626,0.216556414803879
class.Coriobacteriia.id.809,13,19.3938653973339,20.3278091310944,20.9514056611817,8.82271437409812,12,0.717993773828889,0,8.78470371301765,11,0.641757501859198,0,-0.00494040652651096,0.0253401963265733,0.848976039927649
class.Deltaproteobacteria.id.3087,13,18.9684946113607,20.5882967331845,21.057277222939,11.1019394647952,12,0.52020326864435,0,11.0881573070994,11,0.435907577054411,0.00795058228863695,0.00183074715621206,0.0156568037346586,0.909023273078549
class.Erysipelotrichia.id.2147,12,19.3853525761714,21.1449873086748,22.0432548746011,27.1215533064141,11,0.00440484632338555,0.594418510041658,18.194614614161,10,0.051768171898999,0.450386819833109,-0.0726927801767823,0.0328179488264822,0.0511231410802346
class.Gammaproteobacteria.id.3303,6,19.6823383697537,20.5965978027729,20.9296848036575,5.33469200659898,5,0.376413041405008,0.0627387684584167,5.32833946730658,4,0.255235670337983,0.249297079410378,-0.00215735007705296,0.0312401342721058,0.948258639528357
class.Lentisphaeria.id.2250,8,20.233448203411,21.8897533530336,21.847486350208,8.09248167113116,7,0.324509692049027,0.134999585482961,6.91144328436294,6,0.329114631831854,0.131874522710049,-0.0302911904405657,0.029915280800034,0.350344948936297
class.Melainabacteria.id.1589,8,19.5141236594377,20.5946191782403,22.3804924230384,17.4392840394087,7,0.0147729498434959,0.598607374925389,17.3534663786489,6,0.00806832827767224,0.654247752634471,-0.00636234755995999,0.036935718184572,0.868900724160073
class.Methanobacteria.id.119,10,19.8563535881858,21.1931835511524,22.0884994927597,5.39775309890189,9,0.798348963854157,0,4.47659724682965,8,0.811769888819531,0,0.0288494227367267,0.030058726011437,0.365276828532677
class.Mollicutes.id.3920,11,19.0019042489958,20.875258528203,21.4826129823147,9.08186403030193,10,0.524352433532404,0,7.39587163614879,9,0.595976015356394,0,0.0259567055505459,0.0199904129225496,0.226413131585042
class.Negativicutes.id.2164,12,17.6810832384633,21.8437223183945,21.6689579284337,8.10014423135186,11,0.704305948640821,0,7.62866038936749,10,0.665057377480119,0,-0.0124022676850129,0.0180620771849963,0.50791429267854
class.Verrucomicrobiae.id.4029,10,19.2902464395949,22.5005085672078,22.2319153180323,10.0021635169319,9,0.350310091344788,0.100194674405731,8.97272128634163,8,0.344602387740612,0.108408726327242,0.0210359751615434,0.0219572908474102,0.366095937983719
family.Acidaminococcaceae.id.2166,7,19.7782091445229,21.313536721947,21.296602658616,5.2861539932535,6,0.50766987224314,0,3.98821203686903,5,0.551114381395304,0,0.0306744009224009,0.0269245500266034,0.306210576323675
family.Actinomycetaceae.id.421,3,20.2967168422657,20.6051285727885,20.9439000187145,0.16184819266351,2,0.922263691985236,0,0.0460017859214314,1,0.830172551780659,0,0.0196333287839088,0.0576836397124561,0.791148536090104
family.Alcaligenaceae.id.2875,12,19.5913699722818,21.279272088134,21.9425109530493,10.7837409682786,11,0.46155473435569,0,6.30006979497257,10,0.78945414587987,0,0.0549557746254697,0.0259535312528799,0.0602799400462484
family.Bacteroidaceae.id.917,8,20.0399211209517,22.0532181462218,22.7914234397799,10.5720469370599,7,0.158406033038927,0.337876568116457,4.29016953697048,6,0.637472629589397,0,0.090222045066833,0.0359971351760778,0.046129239355589
family.BacteroidalesS24.7group.id.11173,8,19.62834819603,23.1906791723754,23.1418705514833,4.00124807677074,7,0.779633642875677,0,3.51008371470957,6,0.742627621203151,0,0.0204037202331987,0.0291136017013107,0.50966013912607
family.Bifidobacteriaceae.id.433,9,18.8692868617856,20.4541670341326,20.8634030629937,5.09132442503081,8,0.747772158710003,0,4.84376914029074,7,0.679022004597307,0,-0.0172350326646241,0.0346398505681202,0.634048134760695
family.Christensenellaceae.id.1866,10,19.6836005739695,20.7202480737397,21.2394907618734,20.8231494437085,9,0.0134592343294437,0.567788723587188,18.4060576924479,8,0.0183799408375742,0.565360484375617,-0.0207020388649805,0.0201977014028912,0.335368402849151
family.Clostridiaceae1.id.1869,10,19.0425273085853,20.3200780429898,20.2816740423407,20.9345207315032,9,0.0129443525888635,0.570088080093641,19.338436993617,8,0.0131507954250652,0.58631610183178,0.0230699339072427,0.028391229830714,0.439972072436054
family.ClostridialesvadinBB60group.id.11286,14,19.145366230005,21.7672374672835,21.9286583403541,10.5728758518413,13,0.646550498432895,0,10.5263473672861,12,0.569885942940091,0,0.00351082326733165,0.0162760686907443,0.832840894373883
family.Coriobacteriaceae.id.811,13,19.3938653973339,20.3278091310944,20.9514056611817,8.82271437409812,12,0.717993773828889,0,8.78470371301765,11,0.641757501859198,0,-0.00494040652651096,0.0253401963265733,0.848976039927649
family.Defluviitaleaceae.id.1924,11,18.2927552086168,21.9690517162498,22.186516640298,6.04690034626877,10,0.811307600380124,0,5.66537355007099,9,0.77288543670175,0,0.0144070310138698,0.0233244798903705,0.552093631302628
family.Desulfovibrionaceae.id.3169,10,20.2943845058987,21.2830680560259,21.684389941333,10.1810331997968,9,0.336029430679184,0.116003275563461,10.1656163768458,8,0.253593755640933,0.213033454791623,-0.00203734859121784,0.0184965088944706,0.915005262208727
family.Enterobacteriaceae.id.3469,6,19.470643980072,20.5327381634764,21.1141305192434,4.34224196651831,5,0.501264129115799,0,2.30280542153207,4,0.680258328738573,0,-0.0742293650543008,0.0519781295325671,0.226454121692195
family.Erysipelotrichaceae.id.2149,12,19.3853525761714,21.1449873086748,22.0432548746011,27.1215533064141,11,0.00440484632338555,0.594418510041658,18.194614614161,10,0.051768171898999,0.450386819833109,-0.0726927801767823,0.0328179488264822,0.0511231410802346
family.FamilyXI.id.1936,7,20.0682694335488,21.7953719121887,21.9918200671956,2.58307619437913,6,0.859056715030237,0,1.86528150797217,5,0.867454189510066,0,-0.0370575145597167,0.0437397371017465,0.435534475403678
family.FamilyXIII.id.1957,8,20.3111317360115,21.9670888805581,21.815207869383,9.45790892504922,7,0.221429435534422,0.259878684022793,6.7980237304517,6,0.33993053570132,0.117390547914235,-0.0370300222672647,0.0241678624270132,0.17635868024825
family.Lachnospiraceae.id.1987,16,16.9128587115881,20.2559461802552,20.6513548257947,27.3287311917656,15,0.0261693318517069,0.451127097897628,27.1340250001625,14,0.0184954254141014,0.484042636508363,0.00535039772325834,0.0168806543804618,0.755955348012926
family.Lactobacillaceae.id.1836,7,19.7740213701397,21.5699080599685,22.1440280379137,20.3343457178318,6,0.00241422686031754,0.704932724009977,17.5077572027704,5,0.00363100653095304,0.714412306379894,0.0401923935051899,0.0447345249860833,0.410114623785092
family.Methanobacteriaceae.id.121,10,19.8563535881858,21.1931835511524,22.0884994927597,5.39775309890189,9,0.798348963854157,0,4.47659724682965,8,0.811769888819531,0,0.0288494227367267,0.030058726011437,0.365276828532677
family.Oxalobacteraceae.id.2966,14,19.3875595558063,20.9630636374291,22.1898904491235,14.294114935795,13,0.353461913390266,0.0905348069193361,12.7480627003139,12,0.387615448737234,0.0586805005513088,-0.0286074051409046,0.0237136200653086,0.250920442507561
family.Pasteurellaceae.id.3689,14,18.4970219026569,21.1237825235275,21.2298649478245,15.2174572904802,13,0.293974824476885,0.145717990078893,13.8804063830216,12,0.308410464789904,0.13547199780272,0.0161571402767914,0.0150279932614513,0.303456047266503
family.Peptococcaceae.id.2024,8,20.787774838991,22.2298090779299,22.612060014262,12.5129496097192,7,0.0849026970762285,0.440579542127869,10.9673479092847,6,0.0893908421007447,0.452921522173969,0.0206927477370091,0.0225032142453231,0.393276856951204
family.Peptostreptococcaceae.id.2042,14,18.8774525088944,21.7466634721886,22.6664801750715,24.9139856764736,13,0.023691696280874,0.478204725297086,24.7963517276424,12,0.0158179318879123,0.516057840612791,0.00421809073096907,0.0176788027467399,0.815444783505938
family.Porphyromonadaceae.id.943,8,19.140267427991,19.8360668712708,20.5030098667151,6.55120065334953,7,0.477052616516225,0,5.86301383779678,6,0.438709166901089,0,-0.0234109534059811,0.0282205794338515,0.438533307455887
family.Prevotellaceae.id.960,15,19.7156822493923,21.6663273064272,22.4369445418865,10.0369003158653,14,0.759480682163298,0,9.94282649287502,13,0.698602835584263,0,-0.00559558716537167,0.0182436305455364,0.763918113125873
family.Rhodospirillaceae.id.2717,14,19.3214574189025,20.8458263058691,21.3509314533079,15.3002851690283,13,0.288983531624689,0.150342633723237,14.0807800902754,12,0.295579585960485,0.147774489547806,0.0322093182598237,0.0315945708651714,0.328099699406669
family.Rikenellaceae.id.967,17,19.0052126643908,21.0384712493596,21.7692548413256,12.1041645343734,16,0.736778651270437,0,12.0832174428058,15,0.672719507192724,0,-0.00231923221287266,0.0160244218309632,0.886849931919772
family.Ruminococcaceae.id.2050,8,19.6816749404971,20.9108280260202,21.9981767968733,6.47755387009066,7,0.485219781880615,0,5.52095027172046,6,0.478928204901357,0,-0.0167789748606041,0.0171553434978278,0.36581627541628
family.Streptococcaceae.id.1850,12,19.5148500986362,21.4668410643321,22.8016070486447,15.3712784190742,11,0.166122660411591,0.284379626723166,15.3200049400778,10,0.12082329001932,0.347258696122247,-0.00603654507411211,0.0329967759145999,0.858498207828654
