accession,reported_trait,phenotype_model,taxon_name,genome_assembly,initial_sample_size,replication_sample_size,snp_count,pubmed_id,integrity_status,prevalence,ncbi_taxonomy_id,ncbi_organism_name,mibiogen_taxon_id,mibiogen_taxon_name,mibiogen_rank,mibiogen_primary_beta,taxonomic_mapping,interpretation_scope,source_doi
GCST90670409,"Gut microbiome species presence (Faecalibacterium prausnitzii A, GCF_023347235.1)",presence,Faecalibacterium prausnitzii A,GCF_023347235.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",5368906,41688638,PASS,0.23,2929494.0,Faecalibacterium sp. I4-1-79,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670412,"Gut microbiome species abundance (Faecalibacterium prausnitzii D, GCF_023347255.1)",abundance,Faecalibacterium prausnitzii D,GCF_023347255.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",7454886,41688638,PASS,0.97,2929495.0,Faecalibacterium sp. I4-3-84,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670481,"Gut microbiome species abundance (Flavonifractor plautii, GCF_000239295.1)",abundance,Flavonifractor plautii,GCF_000239295.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",7454886,41688638,PASS,0.96,411475.0,Flavonifractor plautii ATCC 29863,genus.Flavonifractor.id.2059,Flavonifractor,genus,-0.270367558373701,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670490,"Gut microbiome species presence (Faecalibacterium prausnitzii E, GCF_019967995.1)",presence,Faecalibacterium prausnitzii E,GCF_019967995.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",5368906,41688638,PASS,0.29,853.0,Faecalibacterium prausnitzii,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670538,"Gut microbiome species presence (Faecalibacterium prausnitzii J, GCF_003287405.1)",presence,Faecalibacterium prausnitzii J,GCF_003287405.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",5368906,41688638,PASS,0.35,853.0,Faecalibacterium prausnitzii,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670549,"Gut microbiome species abundance (Faecalibacterium sp900758465, GCF_023347275.1)",abundance,Faecalibacterium sp900758465,GCF_023347275.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",7454886,41688638,PASS,0.81,2929493.0,Faecalibacterium sp. I3-3-89,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670588,"Gut microbiome species abundance (Faecalibacterium sp900539945, GCA_900539945.1)",abundance,Faecalibacterium sp900539945,GCA_900539945.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",7454886,41688638,PASS,0.91,259315.0,uncultured Faecalibacterium sp.,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670612,"Gut microbiome species abundance (Faecalibacterium prausnitzii I, GCF_003287495.1)",abundance,Faecalibacterium prausnitzii I,GCF_003287495.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",7454886,41688638,PASS,0.79,853.0,Faecalibacterium prausnitzii,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670663,"Gut microbiome species presence (Faecalibacterium prausnitzii, GCF_003324185.1)",presence,Faecalibacterium prausnitzii,GCF_003324185.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",5368906,41688638,PASS,0.55,853.0,Faecalibacterium prausnitzii,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
GCST90670667,"Gut microbiome species abundance (Faecalibacterium sp900539885, GCF_023347535.1)",abundance,Faecalibacterium sp900539885,GCF_023347535.1,"16,017 European ancestry individuals","12,652 European ancestry individuals",7454886,41688638,PASS,0.75,2929491.0,Faecalibacterium wellingii,genus.Faecalibacterium.id.2057,Faecalibacterium,genus,-0.210471475388647,same genus; species-resolved exposure,species-level external assessment; not an exact taxon replication,10.1038/s41588-026-02512-2
