"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","gwas_accession","taxon_name","tier","sensitivity_model","analysis_status","error_message","primary_estimator","nominal_p_lt_0_05","odds_ratio","or_ci_lower","or_ci_upper","bh_q_primary","mibiogen_primary_beta","direction_concordant_with_genus"
"GCST90670409__genome_wide__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","Wald ratio",1,-0.0537412996751825,0.0971463266545234,0.58012680689387,"GCST90670409","Faecalibacterium prausnitzii A","genome_wide","full","estimated",NA,TRUE,FALSE,0.94767723920208,0.783371608400359,1.14644459930783,0.58012680689387,-0.210471475388647,TRUE
"GCST90670409__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","Inverse variance weighted (multiplicative random effects)",4,-0.00337726281465541,0.0292246597463222,0.907999607857202,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full","estimated",NA,TRUE,FALSE,0.996628433722698,0.941145436651885,1.05538229929489,0.998339970709002,-0.210471475388647,TRUE
"GCST90670409__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","Weighted median",4,-0.0165447104239064,0.0617433520654047,0.788730584651291,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full","estimated",NA,FALSE,FALSE,0.98359140161903,0.871480595004833,1.11012459816563,NA,-0.210471475388647,TRUE
"GCST90670409__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","MR Egger",4,-0.175847538381329,0.184680349285012,0.441503373185121,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full","estimated",NA,FALSE,FALSE,0.838745850139403,0.584019431856869,1.2045739623583,NA,-0.210471475388647,TRUE
"GCST90670409__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","Robust adjusted profile score (RAPS)",4,-0.0034058913282055,0.0563865616317696,0.951835038779776,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full","estimated",NA,FALSE,FALSE,0.99659990214049,0.89232616971314,1.11305865350304,NA,-0.210471475388647,TRUE
"GCST90670412__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii D","Inverse variance weighted (multiplicative random effects)",6,-0.0604809875584321,0.0773911066000487,0.434509709287297,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full","estimated",NA,TRUE,FALSE,0.941311665481315,0.808829161632859,1.09549419531613,0.963565203272801,-0.210471475388647,TRUE
"GCST90670412__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii D","Weighted median",6,-0.0453851415542263,0.148968073920456,0.760622416948219,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full","estimated",NA,FALSE,FALSE,0.955629358371482,0.713650047434918,1.27965726880271,NA,-0.210471475388647,TRUE
"GCST90670412__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii D","MR Egger",6,-0.0557858378999708,0.298738889323343,0.860954893770307,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full","estimated",NA,FALSE,FALSE,0.945741656222714,0.526599984700271,1.69849469483743,NA,-0.210471475388647,TRUE
"GCST90670412__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii D","Robust adjusted profile score (RAPS)",6,-0.0612891469248215,0.138744355639292,0.6586762380013,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full","estimated",NA,FALSE,FALSE,0.940551242954845,0.716606729001223,1.23447995228411,NA,-0.210471475388647,TRUE
"GCST90670481__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor plautii","Inverse variance weighted (multiplicative random effects)",7,-0.0247647462146721,0.0861841214264946,0.77384666092707,"GCST90670481","Flavonifractor plautii","exploratory","full","estimated",NA,TRUE,FALSE,0.975539384368065,0.823916883078627,1.15506443671504,0.998339970709002,-0.270367558373701,TRUE
"GCST90670481__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor plautii","Weighted median",7,-0.0212447873321916,0.151349373032371,0.8883683078106,"GCST90670481","Flavonifractor plautii","exploratory","full","estimated",NA,FALSE,FALSE,0.978979293506908,0.727683150413247,1.31705737115256,NA,-0.270367558373701,TRUE
"GCST90670481__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor plautii","MR Egger",7,0.258705011820402,0.403308055632347,0.549470045984605,"GCST90670481","Flavonifractor plautii","exploratory","full","estimated",NA,FALSE,FALSE,1.29525166453674,0.587558903202727,2.85533393390917,NA,-0.270367558373701,FALSE
"GCST90670481__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor plautii","Robust adjusted profile score (RAPS)",7,-0.0252341129734193,0.127418276871899,0.84301255575097,"GCST90670481","Flavonifractor plautii","exploratory","full","estimated",NA,FALSE,FALSE,0.975081606050561,0.759591921242466,1.25170385817551,NA,-0.270367558373701,TRUE
"GCST90670490__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii E","Inverse variance weighted (multiplicative random effects)",5,-0.0229663011073356,0.055711024220093,0.680163672898448,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full","estimated",NA,TRUE,FALSE,0.977295416991726,0.876200871840131,1.09005407637542,0.963565203272801,-0.210471475388647,TRUE
"GCST90670490__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii E","Weighted median",5,0.0132228999877977,0.0741018178678801,0.858375619309505,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full","estimated",NA,FALSE,FALSE,1.01331070913351,0.876326392701897,1.17170794100909,NA,-0.210471475388647,FALSE
"GCST90670490__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii E","MR Egger",5,0.148442446908783,0.298812164545577,0.653469912743238,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full","estimated",NA,FALSE,FALSE,1.1600260327691,0.645823265401144,2.08363567680731,NA,-0.210471475388647,FALSE
"GCST90670490__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii E","Robust adjusted profile score (RAPS)",5,-0.0219639064341618,0.0616118789118541,0.721475004215258,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full","estimated",NA,FALSE,FALSE,0.978275543866746,0.866994029078433,1.10384040446627,NA,-0.210471475388647,TRUE
"GCST90670538__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii J","Inverse variance weighted (multiplicative random effects)",5,-0.0864648309522363,0.0789552555819467,0.273467665837449,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full","estimated",NA,TRUE,FALSE,0.917167804135818,0.785671013631932,1.07067305061276,0.963557853306063,-0.210471475388647,TRUE
"GCST90670538__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii J","Weighted median",5,-0.0420085021971848,0.0846692972786673,0.619789998220542,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full","estimated",NA,FALSE,FALSE,0.958861628107193,0.812239261776353,1.13195171068883,NA,-0.210471475388647,TRUE
"GCST90670538__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii J","MR Egger",5,1.42108781096961,1.31195857878208,0.358016902099477,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full","estimated",NA,FALSE,FALSE,4.14162329393168,0.316525648285823,54.1916385030142,NA,-0.210471475388647,FALSE
"GCST90670538__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii J","Robust adjusted profile score (RAPS)",5,-0.0626699597124478,0.0707690446429404,0.375856772522754,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full","estimated",NA,FALSE,FALSE,0.939253414006767,0.817603901858213,1.07900289335502,NA,-0.210471475388647,TRUE
"GCST90670549__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900758465","Inverse variance weighted (multiplicative random effects)",10,0.0121927262651708,0.0723838331354393,0.866232866692456,"GCST90670549","Faecalibacterium sp900758465","exploratory","full","estimated",NA,TRUE,FALSE,1.01226736057551,0.878376829472119,1.16656675689216,0.998339970709002,-0.210471475388647,FALSE
"GCST90670549__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900758465","Weighted median",10,0.0645133484892731,0.135122928205303,0.633047478963067,"GCST90670549","Faecalibacterium sp900758465","exploratory","full","estimated",NA,FALSE,FALSE,1.06663981617977,0.818462588347775,1.39007025324971,NA,-0.210471475388647,FALSE
"GCST90670549__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900758465","MR Egger",10,0.241470464570675,0.251709414727491,0.365488245206958,"GCST90670549","Faecalibacterium sp900758465","exploratory","full","estimated",NA,FALSE,FALSE,1.27311985222081,0.777338022132481,2.08510855248309,NA,-0.210471475388647,FALSE
"GCST90670549__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900758465","Robust adjusted profile score (RAPS)",10,0.0124164982988027,0.11095643246791,0.910899312890705,"GCST90670549","Faecalibacterium sp900758465","exploratory","full","estimated",NA,FALSE,FALSE,1.01249390304736,0.81459997917029,1.25846296332125,NA,-0.210471475388647,FALSE
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945","Inverse variance weighted (multiplicative random effects)",8,0.0475055422498874,0.0984912114919939,0.629569547183408,"GCST90670588","Faecalibacterium sp900539945","exploratory","full","estimated",NA,TRUE,FALSE,1.04865201299668,0.864557700025163,1.27194638869099,0.963565203272801,-0.210471475388647,FALSE
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945","Weighted median",8,0.0449798063581079,0.140089266617884,0.748150065737303,"GCST90670588","Faecalibacterium sp900539945","exploratory","full","estimated",NA,FALSE,FALSE,1.04600673700998,0.794855329616131,1.37651476074101,NA,-0.210471475388647,FALSE
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945","MR Egger",8,0.761231160572843,0.416301483484895,0.117222214320128,"GCST90670588","Faecalibacterium sp900539945","exploratory","full","estimated",NA,FALSE,FALSE,2.14091040309149,0.946750440373937,4.84129413476165,NA,-0.210471475388647,FALSE
