"id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval","gwas_accession","taxon_name","tier","sensitivity_model"
"GCST90670409__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A",0.0398702276276076,0.0409689403620519,0.433111284484503,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full"
"GCST90670412__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii D",-0.000429407814300721,0.0247447222257852,0.986985683083741,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full"
"GCST90670481__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor plautii",-0.0195867951557357,0.026661969085864,0.495549464023412,"GCST90670481","Flavonifractor plautii","exploratory","full"
"GCST90670490__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii E",-0.033869412267584,0.0578028321597627,0.599077615446485,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full"
"GCST90670538__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii J",-0.243237625337929,0.211324467211758,0.333142489686375,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full"
"GCST90670549__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900758465",-0.0224482120480387,0.0225258170493425,0.348164497473579,"GCST90670549","Faecalibacterium sp900758465","exploratory","full"
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945",-0.0468710798912777,0.0263580791546675,0.125681871755261,"GCST90670588","Faecalibacterium sp900539945","exploratory","full"
"GCST90670612__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii I",0.0876436762231217,0.0723236552471778,0.349319193931595,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full"
"GCST90670663__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii",0.0215145466976332,0.0474881018276395,0.694917052371711,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full"
"GCST90670667__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539885",0.0247356000708353,0.0447211499909789,0.635760842228683,"GCST90670667","Faecalibacterium sp900539885","exploratory","full"
"GCST90671064__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor avistercoris",0.0687083830731287,0.0527147313361624,0.249225112946903,"GCST90671064","Flavonifractor avistercoris","exploratory","full"
"GCST90671121__exploratory__full","deCODE_essential_tremor","Essential tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )",0.0886337307507051,0.0515941241813762,0.146457292394501,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full"
"GCST90671130__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium longum",0.0122352197354227,0.0181327160417484,0.521483617437327,"GCST90671130","Faecalibacterium longum","exploratory","full"
"GCST90671133__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium duncaniae",-0.0104654927346071,0.0273421089776603,0.721367010031805,"GCST90671133","Faecalibacterium duncaniae","exploratory","full"
"GCST90671143__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium hattorii",-0.217237968738723,0.176307060010259,0.43402514805851,"GCST90671143","Faecalibacterium hattorii","exploratory","full"
