"id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval","gwas_accession","taxon_name","tier","sensitivity_model"
"GCST90670409__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","Inverse variance weighted (multiplicative random effects)",0.949396234787572,3,0.81349390603058,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full"
"GCST90670409__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","MR Egger",0.00231339508845104,2,0.99884397117252,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full"
"GCST90670412__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii D","Inverse variance weighted (multiplicative random effects)",1.86669826186831,5,0.867265280537012,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full"
"GCST90670412__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii D","MR Egger",1.86639711751733,4,0.760314859035194,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full"
"GCST90670481__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor plautii","Inverse variance weighted (multiplicative random effects)",3.23753853723457,6,0.778496817962044,"GCST90670481","Flavonifractor plautii","exploratory","full"
"GCST90670481__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor plautii","MR Egger",2.69785108391088,5,0.746447084997726,"GCST90670481","Flavonifractor plautii","exploratory","full"
"GCST90670490__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii E","Inverse variance weighted (multiplicative random effects)",4.69153531382539,4,0.320436389244226,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full"
"GCST90670490__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii E","MR Egger",4.2097514151206,3,0.239687395326002,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full"
"GCST90670538__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii J","Inverse variance weighted (multiplicative random effects)",6.8722530116475,4,0.14279504640089,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full"
"GCST90670538__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii J","MR Egger",4.76706205761658,3,0.189670520815993,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full"
"GCST90670549__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900758465","Inverse variance weighted (multiplicative random effects)",4.52312876475956,9,0.873742871267809,"GCST90670549","Faecalibacterium sp900758465","exploratory","full"
"GCST90670549__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900758465","MR Egger",3.53000721186621,8,0.896848353243497,"GCST90670549","Faecalibacterium sp900758465","exploratory","full"
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945","Inverse variance weighted (multiplicative random effects)",5.56011642867302,7,0.591942943858189,"GCST90670588","Faecalibacterium sp900539945","exploratory","full"
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945","MR Egger",2.39796689329647,6,0.879707473637853,"GCST90670588","Faecalibacterium sp900539945","exploratory","full"
