"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","gwas_accession","taxon_name","tier","sensitivity_model","analysis_status","error_message","primary_estimator","nominal_p_lt_0_05","odds_ratio","or_ci_lower","or_ci_upper","bh_q_primary","mibiogen_primary_beta","direction_concordant_with_genus"
"GCST90670409__genome_wide__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","Wald ratio",1,-0.0537412996751825,0.0971463266545234,0.58012680689387,"GCST90670409","Faecalibacterium prausnitzii A","genome_wide","full","estimated",NA,TRUE,FALSE,0.94767723920208,0.783371608400359,1.14644459930783,0.58012680689387,-0.210471475388647,TRUE
"GCST90670409__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii A","Inverse variance weighted (multiplicative random effects)",4,-0.00337726281465541,0.0292246597463222,0.907999607857202,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full","estimated",NA,TRUE,FALSE,0.996628433722698,0.941145436651885,1.05538229929489,0.998339970709002,-0.210471475388647,TRUE
"GCST90670412__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii D","Inverse variance weighted (multiplicative random effects)",6,-0.0604809875584321,0.0773911066000487,0.434509709287297,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full","estimated",NA,TRUE,FALSE,0.941311665481315,0.808829161632859,1.09549419531613,0.963565203272801,-0.210471475388647,TRUE
"GCST90670481__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor plautii","Inverse variance weighted (multiplicative random effects)",7,-0.0247647462146721,0.0861841214264946,0.77384666092707,"GCST90670481","Flavonifractor plautii","exploratory","full","estimated",NA,TRUE,FALSE,0.975539384368065,0.823916883078627,1.15506443671504,0.998339970709002,-0.270367558373701,TRUE
"GCST90670490__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii E","Inverse variance weighted (multiplicative random effects)",5,-0.0229663011073356,0.055711024220093,0.680163672898448,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full","estimated",NA,TRUE,FALSE,0.977295416991726,0.876200871840131,1.09005407637542,0.963565203272801,-0.210471475388647,TRUE
"GCST90670538__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii J","Inverse variance weighted (multiplicative random effects)",5,-0.0864648309522363,0.0789552555819467,0.273467665837449,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full","estimated",NA,TRUE,FALSE,0.917167804135818,0.785671013631932,1.07067305061276,0.963557853306063,-0.210471475388647,TRUE
"GCST90670549__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900758465","Inverse variance weighted (multiplicative random effects)",10,0.0121927262651708,0.0723838331354393,0.866232866692456,"GCST90670549","Faecalibacterium sp900758465","exploratory","full","estimated",NA,TRUE,FALSE,1.01226736057551,0.878376829472119,1.16656675689216,0.998339970709002,-0.210471475388647,FALSE
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945","Inverse variance weighted (multiplicative random effects)",8,0.0475055422498874,0.0984912114919939,0.629569547183408,"GCST90670588","Faecalibacterium sp900539945","exploratory","full","estimated",NA,TRUE,FALSE,1.04865201299668,0.864557700025163,1.27194638869099,0.963565203272801,-0.210471475388647,FALSE
"GCST90670612__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii I","Inverse variance weighted (multiplicative random effects)",4,-0.157297571792808,0.154937681063205,0.309995619293675,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full","estimated",NA,TRUE,FALSE,0.854449760836412,0.630668174820602,1.15763633387887,0.963557853306063,-0.210471475388647,TRUE
"GCST90670663__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii","Inverse variance weighted (multiplicative random effects)",4,0.218459220305281,0.0531522965277782,3.95553344929851e-05,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full","estimated",NA,TRUE,TRUE,1.24415827919784,1.12106678558769,1.38076503879746,0.000672440686380747,-0.210471475388647,FALSE
"GCST90670667__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539885","Inverse variance weighted (multiplicative random effects)",4,-0.000404014189565656,0.194187207049132,0.998339970709002,"GCST90670667","Faecalibacterium sp900539885","exploratory","full","estimated",NA,TRUE,FALSE,0.999596067413177,0.683170415690663,1.46258133408447,0.998339970709002,-0.210471475388647,TRUE
"GCST90670780__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii F","Inverse variance weighted (multiplicative random effects)",2,0.0405360247326032,0.0344542810560698,0.239388605772666,"GCST90670780","Faecalibacterium prausnitzii F","exploratory","full","estimated",NA,TRUE,FALSE,1.04136882406022,0.973366725323383,1.1141217379958,0.963557853306063,-0.210471475388647,FALSE
"GCST90671064__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor avistercoris","Inverse variance weighted (multiplicative random effects)",7,-0.0173027218624501,0.0378001555205991,0.647137751252914,"GCST90671064","Flavonifractor avistercoris","exploratory","full","estimated",NA,TRUE,FALSE,0.982846110590998,0.912660766404372,1.05842884088199,0.963565203272801,-0.270367558373701,TRUE
"GCST90671065__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor intestinigallinarum","Inverse variance weighted (multiplicative random effects)",2,0.0378132254052786,0.0134382727296108,0.00489527252436741,"GCST90671065","Flavonifractor intestinigallinarum","exploratory","full","estimated",NA,TRUE,TRUE,1.03853724239026,1.0115402921142,1.0662547129757,0.041609816457123,-0.270367558373701,FALSE
"GCST90671121__exploratory__full","deCODE_essential_tremor","Essential tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )","Inverse variance weighted (multiplicative random effects)",7,-0.0311603406829005,0.0528574453005406,0.555514789418803,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full","estimated",NA,TRUE,FALSE,0.969320139162107,0.873924812887182,1.0751285675036,0.963565203272801,-0.270367558373701,TRUE
"GCST90671130__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium longum","Inverse variance weighted (multiplicative random effects)",9,-0.0392134688342104,0.0755624158744275,0.603792350159191,"GCST90671130","Faecalibacterium longum","exploratory","full","estimated",NA,TRUE,FALSE,0.961545427255107,0.829181836135479,1.11503842508694,0.963565203272801,-0.210471475388647,TRUE
"GCST90671133__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium duncaniae","Inverse variance weighted (multiplicative random effects)",6,-0.122748686168308,0.128666213554126,0.340079242343316,"GCST90671133","Faecalibacterium duncaniae","exploratory","full","estimated",NA,TRUE,FALSE,0.884485918176871,0.687334321952347,1.13818750856358,0.963557853306063,-0.210471475388647,TRUE
"GCST90671143__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium hattorii","Inverse variance weighted (multiplicative random effects)",3,0.00245097541293614,0.0684546903952792,0.971438367768754,"GCST90671143","Faecalibacterium hattorii","exploratory","full","estimated",NA,TRUE,FALSE,1.00245398150863,0.876586214026747,1.14639492266968,0.998339970709002,-0.210471475388647,FALSE
