"id.exposure","id.outcome","exposure","outcome","snp_r2.exposure","snp_r2.outcome","correct_causal_direction","steiger_pval","gwas_accession","taxon_name","tier","sensitivity_model"
"GCST90670409__genome_wide__full","deCODE_essential_tremor","Faecalibacterium prausnitzii A","Essential tremor",0.00205745963320762,6.18413809417968e-06,TRUE,6.40292566214787e-08,"GCST90670409","Faecalibacterium prausnitzii A","genome_wide","full"
"GCST90670409__exploratory__full","deCODE_essential_tremor","Faecalibacterium prausnitzii A","Essential tremor",0.00681724741146078,1.94721379654828e-05,TRUE,5.42220686233394e-23,"GCST90670409","Faecalibacterium prausnitzii A","exploratory","full"
"GCST90670412__exploratory__full","deCODE_essential_tremor","Faecalibacterium prausnitzii D","Essential tremor",0.00118561021057714,3.92645722718897e-05,TRUE,0.000382961729779777,"GCST90670412","Faecalibacterium prausnitzii D","exploratory","full"
"GCST90670481__exploratory__full","deCODE_essential_tremor","Flavonifractor plautii","Essential tremor",0.00144089929087501,6.41707165996383e-05,TRUE,0.000158913337894705,"GCST90670481","Flavonifractor plautii","exploratory","full"
"GCST90670490__exploratory__full","deCODE_essential_tremor","Faecalibacterium prausnitzii E","Essential tremor",0.00709053495226894,9.33711968826874e-05,TRUE,4.52004861419446e-21,"GCST90670490","Faecalibacterium prausnitzii E","exploratory","full"
"GCST90670538__exploratory__full","deCODE_essential_tremor","Faecalibacterium prausnitzii J","Essential tremor",0.00583234175279851,0.000168337382943374,TRUE,1.16175554517149e-15,"GCST90670538","Faecalibacterium prausnitzii J","exploratory","full"
"GCST90670549__exploratory__full","deCODE_essential_tremor","Faecalibacterium sp900758465","Essential tremor",0.00191617906685607,0.000100113461410875,TRUE,2.05018070408555e-05,"GCST90670549","Faecalibacterium sp900758465","exploratory","full"
"GCST90670588__exploratory__full","deCODE_essential_tremor","Faecalibacterium sp900539945","Essential tremor",0.00152130515346056,0.000109861150658205,TRUE,0.000321722858723153,"GCST90670588","Faecalibacterium sp900539945","exploratory","full"
"GCST90670612__exploratory__full","deCODE_essential_tremor","Faecalibacterium prausnitzii I","Essential tremor",0.000766792629770768,5.85797309921323e-05,TRUE,0.0115308429334706,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full"
"GCST90670663__exploratory__full","deCODE_essential_tremor","Faecalibacterium prausnitzii","Essential tremor",0.00437011438528943,0.000246727346563096,TRUE,1.9674275735428e-10,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full"
"GCST90670667__exploratory__full","deCODE_essential_tremor","Faecalibacterium sp900539885","Essential tremor",0.00074838717884323,8.06924016655362e-05,TRUE,0.0205315797391576,"GCST90670667","Faecalibacterium sp900539885","exploratory","full"
"GCST90670780__exploratory__full","deCODE_essential_tremor","Faecalibacterium prausnitzii F","Essential tremor",0.0038169755093828,1.06671681940062e-05,TRUE,1.52807605367076e-13,"GCST90670780","Faecalibacterium prausnitzii F","exploratory","full"
"GCST90671064__exploratory__full","deCODE_essential_tremor","Flavonifractor avistercoris","Essential tremor",0.0127578449186319,0.000110137421178995,TRUE,1.72823553920227e-38,"GCST90671064","Flavonifractor avistercoris","exploratory","full"
"GCST90671065__exploratory__full","deCODE_essential_tremor","Flavonifractor intestinigallinarum","Essential tremor",0.00718683513446167,1.15382325544031e-05,TRUE,8.50509226944904e-25,"GCST90671065","Flavonifractor intestinigallinarum","exploratory","full"
"GCST90671121__exploratory__full","deCODE_essential_tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )","Essential tremor",0.00892994947764422,0.000158265285869661,TRUE,3.77957416592161e-25,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full"
"GCST90671130__exploratory__full","deCODE_essential_tremor","Faecalibacterium longum","Essential tremor",0.00178570623848095,8.19018765649265e-05,TRUE,2.81020090985769e-05,"GCST90671130","Faecalibacterium longum","exploratory","full"
"GCST90671133__exploratory__full","deCODE_essential_tremor","Faecalibacterium duncaniae","Essential tremor",0.00131114847216215,0.000127594574695422,TRUE,0.00167875386959005,"GCST90671133","Faecalibacterium duncaniae","exploratory","full"
"GCST90671143__exploratory__full","deCODE_essential_tremor","Faecalibacterium hattorii","Essential tremor",0.00424113770949057,3.58774425808745e-05,TRUE,8.37099925108843e-14,"GCST90671143","Faecalibacterium hattorii","exploratory","full"
