gene_set,input_gene_count,tested_gene_count,gene_symbol,magma_entrez_id
Candidate_target_universe,105,97,IGF1R,3480
Candidate_target_universe,105,97,SIRT1,23411
Candidate_target_universe,105,97,CA3,761
Candidate_target_universe,105,97,CA2,760
Candidate_target_universe,105,97,CA1,759
Candidate_target_universe,105,97,ADORA3,140
Candidate_target_universe,105,97,HSD17B3,3293
Candidate_target_universe,105,97,NR1H3,10062
Candidate_target_universe,105,97,TTR,7276
Candidate_target_universe,105,97,AKR1C3,8644
Candidate_target_universe,105,97,PTPN1,5770
Candidate_target_universe,105,97,MMP10,4319
Candidate_target_universe,105,97,FYN,2534
Candidate_target_universe,105,97,PDE4B,5142
Candidate_target_universe,105,97,NR3C1,2908
Candidate_target_universe,105,97,CA7,766
Candidate_target_universe,105,97,PTGS1,5742
Candidate_target_universe,105,97,KDM6B,23135
Candidate_target_universe,105,97,HTR2B,3357
Candidate_target_universe,105,97,TET3,200424
Candidate_target_universe,105,97,DUSP3,1845
Candidate_target_universe,105,97,PTGES,9536
Candidate_target_universe,105,97,ADCY10,55811
Candidate_target_universe,105,97,HSD17B2,3294
Candidate_target_universe,105,97,SLC6A4,6532
Candidate_target_universe,105,97,EGFR,1956
Candidate_target_universe,105,97,PDE4D,5144
Candidate_target_universe,105,97,FFAR4,338557
Candidate_target_universe,105,97,SGMS1,259230
Candidate_target_universe,105,97,MAP2K1,5604
Candidate_target_universe,105,97,ALK,238
Candidate_target_universe,105,97,CYP1B1,1545
Candidate_target_universe,105,97,TACR2,6865
Candidate_target_universe,105,97,PTK2,5747
Candidate_target_universe,105,97,IAPP,3375
Candidate_target_universe,105,97,TET2,54790
Candidate_target_universe,105,97,MMP12,4321
Candidate_target_universe,105,97,KAT2B,8850
Candidate_target_universe,105,97,TRPA1,8989
Candidate_target_universe,105,97,PPARG,5468
Candidate_target_universe,105,97,LCK,3932
Candidate_target_universe,105,97,ESRRA,2101
Candidate_target_universe,105,97,CA4,762
Candidate_target_universe,105,97,CNR1,1268
Candidate_target_universe,105,97,CYP19A1,1588
Candidate_target_universe,105,97,TYR,7299
Candidate_target_universe,105,97,FDPS,2224
Candidate_target_universe,105,97,SHBG,6462
Candidate_target_universe,105,97,NR1H4,9971
Candidate_target_universe,105,97,KDM4E,390245
Candidate_target_universe,105,97,ESR2,2100
Candidate_target_universe,105,97,MCL1,4170
Candidate_target_universe,105,97,APEX1,328
Candidate_target_universe,105,97,SGMS2,166929
Candidate_target_universe,105,97,APP,351
Candidate_target_universe,105,97,BCHE,590
Candidate_target_universe,105,97,FFAR1,2864
Candidate_target_universe,105,97,SLC6A3,6531
Candidate_target_universe,105,97,HSD11B1,3290
Candidate_target_universe,105,97,MMP8,4317
Candidate_target_universe,105,97,TET1,80312
Candidate_target_universe,105,97,TLR4,7099
Candidate_target_universe,105,97,ADRA2A,150
Candidate_target_universe,105,97,ACHE,43
Candidate_target_universe,105,97,CA9,768
Candidate_target_universe,105,97,HSD17B1,3292
Candidate_target_universe,105,97,ALOX15,246
Candidate_target_universe,105,97,SLC16A1,6566
Candidate_target_universe,105,97,KIF11,3832
Candidate_target_universe,105,97,NR1H2,7376
Candidate_target_universe,105,97,ESRRB,2103
Candidate_target_universe,105,97,CA12,771
Candidate_target_universe,105,97,PTGER1,5731
Candidate_target_universe,105,97,CDC25A,993
Candidate_target_universe,105,97,LTB4R,1241
Candidate_target_universe,105,97,SNCA,6622
Candidate_target_universe,105,97,KDR,3791
Candidate_target_universe,105,97,SLC6A2,6530
Candidate_target_universe,105,97,CA6,765
Candidate_target_universe,105,97,SRC,6714
Candidate_target_universe,105,97,HTR1A,3350
Candidate_target_universe,105,97,MMP13,4322
Candidate_target_universe,105,97,TDP1,55775
Candidate_target_universe,105,97,ESR1,2099
Candidate_target_universe,105,97,SLC22A2,6582
Candidate_target_universe,105,97,AOX1,316
Candidate_target_universe,105,97,CDK1,983
Candidate_target_universe,105,97,PTGER2,5732
Candidate_target_universe,105,97,CNR2,1269
Candidate_target_universe,105,97,PTGS2,5743
Candidate_target_universe,105,97,ADRA2B,151
Candidate_target_universe,105,97,CYP1A2,1544
Candidate_target_universe,105,97,ADRA2C,152
Candidate_target_universe,105,97,ALOX5,240
Candidate_target_universe,105,97,ALOX12,239
Candidate_target_universe,105,97,DAB2IP,153090
Candidate_target_universe,105,97,PTGFR,5737
SwissTargetPrediction,98,91,IGF1R,3480
SwissTargetPrediction,98,91,SIRT1,23411
SwissTargetPrediction,98,91,CA3,761
SwissTargetPrediction,98,91,CA2,760
SwissTargetPrediction,98,91,CA1,759
SwissTargetPrediction,98,91,ADORA3,140
SwissTargetPrediction,98,91,HSD17B3,3293
SwissTargetPrediction,98,91,NR1H3,10062
SwissTargetPrediction,98,91,TTR,7276
SwissTargetPrediction,98,91,AKR1C3,8644
SwissTargetPrediction,98,91,PTPN1,5770
SwissTargetPrediction,98,91,FYN,2534
SwissTargetPrediction,98,91,PDE4B,5142
SwissTargetPrediction,98,91,NR3C1,2908
SwissTargetPrediction,98,91,CA7,766
SwissTargetPrediction,98,91,PTGS1,5742
SwissTargetPrediction,98,91,KDM6B,23135
SwissTargetPrediction,98,91,HTR2B,3357
SwissTargetPrediction,98,91,TET3,200424
SwissTargetPrediction,98,91,DUSP3,1845
SwissTargetPrediction,98,91,PTGES,9536
SwissTargetPrediction,98,91,ADCY10,55811
SwissTargetPrediction,98,91,HSD17B2,3294
SwissTargetPrediction,98,91,SLC6A4,6532
SwissTargetPrediction,98,91,EGFR,1956
SwissTargetPrediction,98,91,PDE4D,5144
SwissTargetPrediction,98,91,SGMS1,259230
SwissTargetPrediction,98,91,MAP2K1,5604
SwissTargetPrediction,98,91,ALK,238
SwissTargetPrediction,98,91,CYP1B1,1545
SwissTargetPrediction,98,91,TACR2,6865
SwissTargetPrediction,98,91,PTK2,5747
SwissTargetPrediction,98,91,IAPP,3375
SwissTargetPrediction,98,91,TET2,54790
SwissTargetPrediction,98,91,KAT2B,8850
SwissTargetPrediction,98,91,TRPA1,8989
SwissTargetPrediction,98,91,PPARG,5468
SwissTargetPrediction,98,91,LCK,3932
SwissTargetPrediction,98,91,ESRRA,2101
SwissTargetPrediction,98,91,CA4,762
SwissTargetPrediction,98,91,CNR1,1268
SwissTargetPrediction,98,91,CYP19A1,1588
SwissTargetPrediction,98,91,TYR,7299
SwissTargetPrediction,98,91,FDPS,2224
SwissTargetPrediction,98,91,SHBG,6462
SwissTargetPrediction,98,91,NR1H4,9971
SwissTargetPrediction,98,91,KDM4E,390245
SwissTargetPrediction,98,91,ESR2,2100
SwissTargetPrediction,98,91,MCL1,4170
SwissTargetPrediction,98,91,APEX1,328
SwissTargetPrediction,98,91,SGMS2,166929
SwissTargetPrediction,98,91,APP,351
SwissTargetPrediction,98,91,BCHE,590
SwissTargetPrediction,98,91,SLC6A3,6531
SwissTargetPrediction,98,91,HSD11B1,3290
SwissTargetPrediction,98,91,TET1,80312
SwissTargetPrediction,98,91,TLR4,7099
SwissTargetPrediction,98,91,ADRA2A,150
SwissTargetPrediction,98,91,ACHE,43
SwissTargetPrediction,98,91,CA9,768
SwissTargetPrediction,98,91,HSD17B1,3292
SwissTargetPrediction,98,91,ALOX15,246
SwissTargetPrediction,98,91,SLC16A1,6566
SwissTargetPrediction,98,91,KIF11,3832
SwissTargetPrediction,98,91,NR1H2,7376
SwissTargetPrediction,98,91,ESRRB,2103
SwissTargetPrediction,98,91,CA12,771
SwissTargetPrediction,98,91,PTGER1,5731
SwissTargetPrediction,98,91,CDC25A,993
SwissTargetPrediction,98,91,LTB4R,1241
SwissTargetPrediction,98,91,SNCA,6622
SwissTargetPrediction,98,91,KDR,3791
SwissTargetPrediction,98,91,SLC6A2,6530
SwissTargetPrediction,98,91,CA6,765
SwissTargetPrediction,98,91,SRC,6714
SwissTargetPrediction,98,91,HTR1A,3350
SwissTargetPrediction,98,91,MMP13,4322
SwissTargetPrediction,98,91,ESR1,2099
SwissTargetPrediction,98,91,SLC22A2,6582
SwissTargetPrediction,98,91,AOX1,316
SwissTargetPrediction,98,91,CDK1,983
SwissTargetPrediction,98,91,PTGER2,5732
SwissTargetPrediction,98,91,CNR2,1269
SwissTargetPrediction,98,91,PTGS2,5743
SwissTargetPrediction,98,91,ADRA2B,151
SwissTargetPrediction,98,91,CYP1A2,1544
SwissTargetPrediction,98,91,ADRA2C,152
SwissTargetPrediction,98,91,ALOX5,240
SwissTargetPrediction,98,91,ALOX12,239
SwissTargetPrediction,98,91,DAB2IP,153090
SwissTargetPrediction,98,91,PTGFR,5737
Similarity_Ensemble_Approach,7,6,MMP10,4319
Similarity_Ensemble_Approach,7,6,FFAR4,338557
Similarity_Ensemble_Approach,7,6,MMP12,4321
Similarity_Ensemble_Approach,7,6,FFAR1,2864
Similarity_Ensemble_Approach,7,6,MMP8,4317
Similarity_Ensemble_Approach,7,6,TDP1,55775
Circulating_conjugate_target_universe,150,144,CA2,760
Circulating_conjugate_target_universe,150,144,CA9,768
Circulating_conjugate_target_universe,150,144,CA1,759
Circulating_conjugate_target_universe,150,144,CA4,762
Circulating_conjugate_target_universe,150,144,ESR2,2100
Circulating_conjugate_target_universe,150,144,ESR1,2099
Circulating_conjugate_target_universe,150,144,CA5A,763
Circulating_conjugate_target_universe,150,144,CA6,765
Circulating_conjugate_target_universe,150,144,AKR1C3,8644
Circulating_conjugate_target_universe,150,144,HSD17B2,3294
Circulating_conjugate_target_universe,150,144,MAPK10,5602
Circulating_conjugate_target_universe,150,144,CYP19A1,1588
Circulating_conjugate_target_universe,150,144,TLR4,7099
Circulating_conjugate_target_universe,150,144,KIF11,3832
Circulating_conjugate_target_universe,150,144,CA12,771
Circulating_conjugate_target_universe,150,144,APP,351
Circulating_conjugate_target_universe,150,144,PPARG,5468
Circulating_conjugate_target_universe,150,144,TET1,80312
Circulating_conjugate_target_universe,150,144,TET2,54790
Circulating_conjugate_target_universe,150,144,TET3,200424
Circulating_conjugate_target_universe,150,144,FDPS,2224
Circulating_conjugate_target_universe,150,144,SLC6A3,6531
Circulating_conjugate_target_universe,150,144,NR1H3,10062
Circulating_conjugate_target_universe,150,144,NR1H2,7376
Circulating_conjugate_target_universe,150,144,ALOX5,240
Circulating_conjugate_target_universe,150,144,JUN,3725
Circulating_conjugate_target_universe,150,144,SHBG,6462
Circulating_conjugate_target_universe,150,144,OPRK1,4986
Circulating_conjugate_target_universe,150,144,PTPN1,5770
Circulating_conjugate_target_universe,150,144,HSD17B1,3292
Circulating_conjugate_target_universe,150,144,MAP2K1,5604
Circulating_conjugate_target_universe,150,144,CA7,766
Circulating_conjugate_target_universe,150,144,SLC6A2,6530
Circulating_conjugate_target_universe,150,144,PPARA,5465
Circulating_conjugate_target_universe,150,144,FUT7,2529
Circulating_conjugate_target_universe,150,144,HSD17B3,3293
Circulating_conjugate_target_universe,150,144,PTGES,9536
Circulating_conjugate_target_universe,150,144,NR4A1,3164
Circulating_conjugate_target_universe,150,144,CNR2,1269
Circulating_conjugate_target_universe,150,144,OPRM1,4988
Circulating_conjugate_target_universe,150,144,HTR1A,3350
Circulating_conjugate_target_universe,150,144,CDK2,1017
Circulating_conjugate_target_universe,150,144,CDK1,983
Circulating_conjugate_target_universe,150,144,MET,4233
Circulating_conjugate_target_universe,150,144,HTR2B,3357
Circulating_conjugate_target_universe,150,144,SNCA,6622
Circulating_conjugate_target_universe,150,144,AKR1B1,231
Circulating_conjugate_target_universe,150,144,CA3,761
Circulating_conjugate_target_universe,150,144,PTGS2,5743
Circulating_conjugate_target_universe,150,144,PRKCA,5578
Circulating_conjugate_target_universe,150,144,PRKCB,5579
Circulating_conjugate_target_universe,150,144,PRKCG,5582
Circulating_conjugate_target_universe,150,144,GSK3B,2932
Circulating_conjugate_target_universe,150,144,HSD11B1,3290
Circulating_conjugate_target_universe,150,144,CNR1,1268
Circulating_conjugate_target_universe,150,144,HSP90AB1,3326
Circulating_conjugate_target_universe,150,144,ESRRA,2101
Circulating_conjugate_target_universe,150,144,DYRK1A,1859
Circulating_conjugate_target_universe,150,144,TTR,7276
Circulating_conjugate_target_universe,150,144,MGLL,11343
Circulating_conjugate_target_universe,150,144,PTPN11,5781
Circulating_conjugate_target_universe,150,144,ENPP1,5167
Circulating_conjugate_target_universe,150,144,SIGMAR1,10280
Circulating_conjugate_target_universe,150,144,KDM6B,23135
Circulating_conjugate_target_universe,150,144,FABP3,2170
Circulating_conjugate_target_universe,150,144,FABP7,2173
Circulating_conjugate_target_universe,150,144,MCL1,4170
Circulating_conjugate_target_universe,150,144,CYP1B1,1545
Circulating_conjugate_target_universe,150,144,ADRA2A,150
Circulating_conjugate_target_universe,150,144,FEN1,2237
Circulating_conjugate_target_universe,150,144,KDR,3791
Circulating_conjugate_target_universe,150,144,PLA2G2A,5320
Circulating_conjugate_target_universe,150,144,ACHE,43
Circulating_conjugate_target_universe,150,144,DRD3,1814
Circulating_conjugate_target_universe,150,144,DRD2,1813
Circulating_conjugate_target_universe,150,144,PRSS1,5644
Circulating_conjugate_target_universe,150,144,TYR,7299
Circulating_conjugate_target_universe,150,144,PGR,5241
Circulating_conjugate_target_universe,150,144,PRKCD,5580
Circulating_conjugate_target_universe,150,144,PRKCE,5581
Circulating_conjugate_target_universe,150,144,PRKCH,5583
Circulating_conjugate_target_universe,150,144,BRAF,673
Circulating_conjugate_target_universe,150,144,YWHAG,7532
Circulating_conjugate_target_universe,150,144,ALOX12,239
Circulating_conjugate_target_universe,150,144,F2,2147
Circulating_conjugate_target_universe,150,144,CA14,23632
Circulating_conjugate_target_universe,150,144,ALOX15,246
Circulating_conjugate_target_universe,150,144,SLC6A4,6532
Circulating_conjugate_target_universe,150,144,FYN,2534
Circulating_conjugate_target_universe,150,144,IGF1R,3480
Circulating_conjugate_target_universe,150,144,TRPA1,8989
Circulating_conjugate_target_universe,150,144,SLC22A8,9376
Circulating_conjugate_target_universe,150,144,SRC,6714
