cell_type,gene,eqtl_cis_variant_count,shared_et_eqtl_variant_count,shared_fraction,minimum_shared_variant_gate_50
Astrocytes,CA13,2268,1289,0.568342151675485,通过
Astrocytes,CA3,2361,1481,0.6272765777213045,通过
Bergmann,CA13,2268,1289,0.568342151675485,通过
Bergmann,CA3,2361,1481,0.6272765777213045,通过
Granule,CA13,2268,1289,0.568342151675485,通过
Granule,CA3,2361,1481,0.6272765777213045,通过
MLI_1,CA13,2268,1289,0.568342151675485,通过
MLI_1,CA3,2361,1481,0.6272765777213045,通过
MLI_2,CA13,2268,1289,0.568342151675485,通过
MLI_2,CA3,2361,1481,0.6272765777213045,通过
OPC,CA13,2268,1289,0.568342151675485,通过
OPC,CA3,2361,1481,0.6272765777213045,通过
Oligodendrocytes,CA13,2268,1289,0.568342151675485,通过
Oligodendrocytes,CA2,2408,1505,0.625,通过
Oligodendrocytes,CA3,2361,1481,0.6272765777213045,通过
Purkinje,CA13,2268,1289,0.568342151675485,通过
Purkinje,CA3,2361,1481,0.6272765777213045,通过
