component,variance_percent
PC1,18.6880654565901
PC2,15.0303344655418
PC3,10.9069815794881
PC4,7.50546289983282
PC5,5.99222939957707
PC6,4.65110976428458
PC7,3.32437970212473
PC8,2.99269794356643
PC9,2.50561893276513
PC10,2.35219026427773
PC11,1.9529071609028
PC12,1.85642752111778
PC13,1.65240160438556
PC14,1.5210732813591
PC15,1.42317437914082
PC16,1.36497221519498
PC17,1.23209240363815
PC18,1.06245881094689
PC19,1.05624251083371
PC20,1.0132586772549
PC21,0.929791845073603
PC22,0.90729006934508
PC23,0.819783371142528
PC24,0.793897452808068
PC25,0.765922699993451
PC26,0.716801470546817
PC27,0.705687323950321
PC28,0.690966972194973
PC29,0.654154072648482
PC30,0.629820163553408
PC31,0.590616797367227
PC32,0.577594362980646
PC33,0.522293800335671
PC34,0.501883306321294
PC35,0.476211555601946
PC36,0.464157699745857
PC37,0.402462767439176
PC38,0.385628251838932
PC39,0.380957044289385
PC40,4.6705987198060497e-29
