sample_id,condition
GSM5914873_A1_Control_4388,Control
GSM5914874_A2_Control_5227,Control
GSM5914875_A3_Control_5287,Control
GSM5914876_A4_Control_5289,Control
GSM5914877_A5_Control_5420,Control
GSM5914878_A6_Control_5508,Control
GSM5914879_B1_Control_5696,Control
GSM5914880_B2_Control_5700,Control
GSM5914881_B3_Control_HBF,Control
GSM5914882_B4_Control_RADC,Control
GSM5914883_B5_Control_RADC,Control
GSM5914884_B6_Control_RADC,Control
GSM5914885_C1_Control_RADC,Control
GSM5914886_C2_Control_RADC,Control
GSM5914887_C3_Control_RADC,Control
GSM5914888_C4_Control_RADC,Control
GSM5914889_C5_ET_4509,ET
GSM5914890_C6_ET_4892,ET
GSM5914891_D1_ET_4910,ET
GSM5914892_D2_ET_4952,ET
GSM5914893_D3_ET_4960,ET
GSM5914894_D4_ET_5016,ET
GSM5914895_D5_ET_5246,ET
GSM5914896_D6_ET_5278,ET
GSM5914897_E1_ET_5295,ET
GSM5914898_E2_ET_5311,ET
GSM5914899_E3_ET_5342,ET
GSM5914900_E4_ET_5349,ET
GSM5914901_E5_ET_5402,ET
GSM5914902_E6_ET_5416,ET
GSM5914903_F1_ET_5427,ET
GSM5914904_F2_ET_5501,ET
GSM5914905_F3_ET_5600,ET
GSM5914906_F4_ET_5611,ET
GSM5914907_F5_ET_5614,ET
GSM5914908_F6_ET_5632,ET
GSM5914909_G1_ET_5664,ET
GSM5914910_G2_ET_5679,ET
GSM5914911_G3_ET_5689,ET
GSM5914912_G4_ET_5707,ET
