gene_symbol,gene_name,published_baseMean,published_log2FoldChange,published_pvalue,published_bh_adjusted_p,reanalyzed_baseMean,reanalyzed_log2FoldChange,reanalyzed_pvalue,reanalyzed_bh_adjusted_p,reanalyzed_bh_adjusted_p_lt_0_05
CDH11,Cadherin 11,1390.78,-0.6517,2.87e-07,0.0035,1390.7798260414,-0.651703535515288,2.87069343504951e-07,0.0031202633314197,True
CSPP1,Centrosome and spindle pole associated protein 1,627.11,0.4597,6.53e-07,0.0035,627.11438974671,0.459695869060101,6.53404230739278e-07,0.0031202633314197,True
SH3D21,SH3 domain containing 21,362.04,0.9959,8.18e-07,0.0035,362.042249451516,0.995901997877675,8.18179354449713e-07,0.0031202633314197,True
AC013394.1,Uncharacterized protein,200.0,0.7901,1.39e-06,0.0036,200.000360409666,0.790070548947919,1.38563941846875e-06,0.0031706201173401,True
AP4E1,Adaptor related protein complex 4 subunit epsilon 1,231.68,0.515,1.23e-06,0.0036,231.678888841383,0.51501630272487,1.23276101338779e-06,0.0031706201173401,True
AC124312.1,Uncharacterized protein,967.08,0.5981,4.56e-06,0.0098,967.081809205972,0.598068802551601,4.55501481296214e-06,0.0086856540791833,True
ACTR8,Actin related protein 8,309.66,-0.407,6.29e-06,0.0115,309.657430030155,-0.406968307580638,6.2938772120596e-06,0.0102868927404534,True
CCAR1,Cell division cycle and apoptosis regulator 1,2024.73,0.2829,9.03e-06,0.0129,2024.72552740914,0.28289415653238,9.02988450075835e-06,0.011478989841464,True
LAMP5,Lysosomal associated membrane protein family member 5,173.31,-0.7331,8.18e-06,0.0129,173.312456373882,-0.733125048203202,8.17597795869006e-06,0.011478989841464,True
JAKMIP3,Janus kinase and microtubule interacting protein 3,604.99,0.7537,1.39e-05,0.0179,604.987970054569,0.753697586392605,1.39120324408681e-05,0.0159167563155972,True
COL4A3,Collagen type IV alpha 3 chain,108.65,1.0395,1.82e-05,0.0213,108.649473158718,1.03953684437729,1.82030967537635e-05,0.0189328754508916,True
PNISR,PNN interacting serine and arginine rich protein,3828.2,0.5137,2.08e-05,0.0223,3828.20116982803,0.513693510541928,2.07987189627948e-05,0.0198298453044446,True
HMGN5,High mobility group nucleosome binding domain 5,443.25,0.4478,2.5e-05,0.023,443.253081477567,0.447822670820372,2.50146500666997e-05,0.0204423293866508,True
SPTBN5,"Spectrin beta, non-erythrocytic 5",304.73,1.5415,2.41e-05,0.023,304.731311188122,1.54149682523028,2.411601785318e-05,0.0204423293866508,True
B4GALNT3,"Beta-1,4-N-acetyl-galactosaminyltransferase 3",53.21,1.0821,3.34e-05,0.0235,53.2104176746552,1.08207383609893,3.33837023823994e-05,0.0208987791468025,True
CCDC82,Coiled-coil domain containing 82,1468.93,0.2685,4.41e-05,0.0235,1468.92995384492,0.268497506370389,4.40888046337689e-05,0.0208987791468025,True
CLASRP,CLK4 associating serine/arginine rich protein,280.3,0.687,3.65e-05,0.0235,280.300539595146,0.687041009469895,3.64704689944149e-05,0.0208987791468025,True
