"gene_symbol","logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","predicted_for_any_chemical_form","predicted_for_all_chemical_forms","predicted_for_any_sulfate_or_glucuronide","predicted_for_all_sulfate_and_glucuronide_forms","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_all_target_gene_cell_type_tests_within_threshold_supplementary"
"NR4A1",-2.72868263273194,3.07153705749325,43.9243823070175,5.26258672836575e-10,6.36720368264972e-06,TRUE,FALSE,TRUE,FALSE,"Astrocytes",10,108,16,92,TRUE,6.13617612527446e-07
"TLR4",1.04195992299004,3.92336336868961,30.1659980343848,2.54666553425451e-07,0.000170406040418467,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,7.54812582941193e-05
"PPARA",0.774070075969459,4.80353668311907,30.0231552725619,2.68612365828644e-07,0.000172542120065546,TRUE,FALSE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,7.54812582941193e-05
"EGFR",1.26749259332879,3.91656919168988,29.214555874288,3.39880146623115e-07,0.000101903620849757,TRUE,FALSE,FALSE,FALSE,"Oligodendrocytes",10,108,16,92,TRUE,7.54812582941193e-05
"NR4A1",-2.50811865870551,3.32510663209671,28.6598203442925,3.48267595026166e-07,0.000226777193982301,TRUE,FALSE,TRUE,FALSE,"OPC",10,108,16,92,TRUE,7.54812582941193e-05
"MAOA",1.13054084883886,2.82587904637451,28.9063127087716,3.88411277671283e-07,0.000196085689507637,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,7.54812582941193e-05
"TLR4",1.47250879610229,2.26167224079557,26.0277207426256,9.73530012608099e-07,0.000221560945136673,TRUE,FALSE,TRUE,FALSE,"Oligodendrocytes",10,108,16,92,TRUE,0.000162162284957292
"TLR4",1.13019732684452,0.896642164294777,26.0045371721863,1.28154923214406e-06,0.000796313819150739,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.000171286614053362
"EGFR",1.17367113285423,2.95647160652638,26.1582107379888,1.32210937090931e-06,0.000796313819150739,TRUE,FALSE,FALSE,FALSE,"Granule",10,109,16,93,TRUE,0.000171286614053362
"NR4A1",-3.07370542290374,3.36106251399607,23.0306040265873,3.87855634809051e-06,0.012514162057114,TRUE,FALSE,TRUE,FALSE,"MLI_1",10,108,16,92,TRUE,0.000452239670187354
"EGFR",1.34031353275539,4.3454635218609,22.9189783498367,4.55714202858157e-06,0.00117962961745725,TRUE,FALSE,FALSE,FALSE,"Golgi",10,106,16,90,TRUE,0.000483057055029647
"CBS",1.65738598559166,0.977636124804095,21.5647753531914,7.16403065612211e-06,0.00109022160638918,TRUE,FALSE,FALSE,FALSE,"Bergmann",10,108,16,92,TRUE,0.000696104978753199
"PRKCA",0.830034593552038,6.61512767986516,22.1863255632695,7.80150901252878e-06,0.00176054053382733,TRUE,FALSE,TRUE,TRUE,"Golgi",10,106,16,90,TRUE,0.000699735346816043
"ERBB2",0.986065506178964,2.61257919412471,20.0370182953909,1.74515752403048e-05,0.00167505033384098,TRUE,FALSE,FALSE,FALSE,"Bergmann",10,108,16,92,TRUE,0.00145346690929967
"NR4A1",-2.35220835566816,3.57245099608482,19.2924523354373,2.18587539861631e-05,0.00232219140772687,TRUE,FALSE,TRUE,FALSE,"Oligodendrocytes",10,108,16,92,TRUE,0.00169915380985775
"NR4A1",-2.39681577411881,3.41386334733682,17.9586428777636,4.59964896100688e-05,0.0029890559259835,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.00329126497789857
"EGFR",0.991303056856305,3.93241375289403,17.6601671848811,4.79858530225349e-05,0.0111397158381272,TRUE,FALSE,FALSE,FALSE,"Microglia",10,108,16,92,TRUE,0.00329126497789857
"EGFR",0.723503264371282,5.54476394023133,17.6173051815616,5.54400765985236e-05,0.00797563520554574,TRUE,FALSE,FALSE,FALSE,"OPC",10,108,16,92,TRUE,0.00342917823177235
"TLR4",0.93140334076688,3.40757051597002,17.2787569345324,5.58785475160161e-05,0.0102435537332769,TRUE,FALSE,TRUE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.00342917823177235
