"cell_type","gene_symbol","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","nominal_p_lt_0_05","BH_FDR_full_transcriptome_within_cell_type_supplementary","BH_FDR_all_target_gene_cell_type_tests_supplementary","BH_FDR_prespecified_gene_cell_type_tests_supplementary","n_pseudobulk_samples","n_donors","n_et_donors","n_normal_donors","initial_consensus_correlation","final_consensus_correlation","all_form_union","all_form_core","circulating_conjugate_union","circulating_conjugate_core","prespecified_single_gene","B","analysis_type","omitted_et_donors","filter_pass_fraction","same_direction_fraction","nominal_p_lt_0_05_fraction","all_iterations_nominal_p_lt_0_05","maximum_nominal_p","minimum_logFC","maximum_logFC"
"Bergmann","CA12","ENSG00000074410",0.922015545877058,0.51443849757379,1.32959259418033,3.52005768403415,4.47304931464162,1.59803505861005e-05,TRUE,0.00146842818924616,0.00161880951437198,NA,136,108,16,92,0.274401116930219,0.274690494831428,TRUE,TRUE,TRUE,TRUE,FALSE,2.81342133986966,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",16,1,1,1,TRUE,0.000123318657719594,0.81871983961646,0.975951989817274
"Granule","CA12","ENSG00000074410",0.838503462566967,0.371803344011585,1.30520358112235,0.48280305684671,3.55195943949284,0.00052079354710055,TRUE,0.022506921127691,0.0192569524274861,NA,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,TRUE,TRUE,TRUE,FALSE,-0.483554228131237,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",16,1,1,1,TRUE,0.0027834828725746,0.730464546841972,0.953030452887815
"Astrocytes","CA12","ENSG00000074410",0.664446320466752,0.188483166727681,1.14040947420582,3.45396516248285,2.76025926862263,0.00655868021947572,TRUE,0.119125152505509,0.0977050450342485,NA,134,108,16,92,0.269165816412669,0.26902089105135,TRUE,TRUE,TRUE,TRUE,FALSE,-2.38411795694723,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",16,1,1,1,TRUE,0.0313168132586498,0.512936574847482,0.768828479679198
"MLI_2","CA4","ENSG00000167434",0.724604152745511,0.151619991554064,1.29758831393696,5.79631271235562,2.50397979305129,0.0136304110340101,TRUE,0.281661582584446,0.166648761209937,NA,111,106,16,90,0.147495448276248,0.147618093114082,TRUE,FALSE,TRUE,FALSE,FALSE,-3.04579884704166,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",16,1,1,1,TRUE,0.046319889672623,0.597686112812275,0.778036922389433
"OPC","CA4","ENSG00000167434",0.348979969440338,0.00813149013063869,0.689828448750037,5.902150828866,2.02469249499855,0.0448515047840961,TRUE,0.286926372393987,0.298184815560866,NA,130,108,16,92,0.174390558604175,0.174457377959855,TRUE,FALSE,TRUE,FALSE,FALSE,-4.11434699116425,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",16,1,1,0.625,FALSE,0.17697375245441,0.230299180537739,0.421882345548603
"Oligodendrocytes","CA13","ENSG00000185015",0.268145389630702,-0.00879876437271926,0.545089543634124,3.89033502477362,1.91456441200453,0.0576276776637493,FALSE,0.332443285974324,0.342290832331188,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,TRUE,FALSE,TRUE,-4.31870533505186,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","CA4","ENSG00000167434",0.290598781044726,-0.0145453375646613,0.595742899654114,6.01397804382498,1.88313144024292,0.0617973612382212,FALSE,0.342206163084227,0.349936459231837,NA,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,TRUE,FALSE,FALSE,-4.67035964250504,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Astrocytes","CA4","ENSG00000167434",0.310875922855105,-0.0180887177735422,0.639840563483752,5.98331257608578,1.86853474386715,0.0638020831115323,FALSE,0.331625527228782,0.355118187868034,NA,134,108,16,92,0.269165816412669,0.26902089105135,TRUE,FALSE,TRUE,FALSE,FALSE,-4.42910477818176,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Purkinje","CA3","ENSG00000164879",-0.302698112088631,-0.645468562501133,0.0400723383238705,4.40541957861607,-1.74774127217301,0.082963093708477,FALSE,0.495451318530458,0.396825352341413,0.960978091463526,121,108,16,92,0.0712124456320508,0.0712425788161398,TRUE,FALSE,TRUE,FALSE,TRUE,-4.21750354724245,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","CA4","ENSG00000167434",0.250336244417689,-0.0428889535267136,0.543561442362092,6.13534850004462,1.68780975704372,0.0936640664744718,FALSE,0.370160356664064,0.416147804116842,NA,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,FALSE,TRUE,FALSE,FALSE,-4.97745908449291,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"PLI","CA4","ENSG00000167434",0.282083836993371,-0.0640129762102729,0.628180650197015,5.98277200109074,1.61183795479158,0.109322015371822,FALSE,0.604589332424089,0.450175616144944,NA,127,107,16,91,0.212564412440487,0.212557412022697,TRUE,FALSE,TRUE,FALSE,FALSE,-4.51043931554292,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Microglia","CA4","ENSG00000167434",0.321983313413899,-0.0753660783063756,0.719332705134174,6.07928075608592,1.60281480837638,0.11135067942374,FALSE,0.552855879597178,0.452573076415836,NA,127,108,16,92,0.200947166454236,0.20114658349785,TRUE,FALSE,TRUE,FALSE,FALSE,-4.82759670186248,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
