"cell_type","gene_symbol","minimum_nuclei","logFC","PValue","nominal_p_lt_0_05","n_donors","n_et_donors","n_control_donors"
"Granule","CA12",10,0.856901079323845,0.000359294915081606,TRUE,109,16,93
"Purkinje","CA12",10,0.854322897017232,0.00829364639178547,TRUE,108,16,92
"Bergmann","CA12",10,0.682711455516241,0.0102310695925461,TRUE,108,16,92
"MLI_1","TET3",10,-0.168709280115114,0.029202892039081,TRUE,108,16,92
"Astrocytes","CA12",10,0.578580872530525,0.0398568081270999,TRUE,108,16,92
"OPC","CA4",10,0.384955319290438,0.0706801680706645,FALSE,108,16,92
"Oligodendrocytes","CA4",10,0.355124051634331,0.0762910444394906,FALSE,108,16,92
"Astrocytes","CA4",10,0.376206353781923,0.086168759042501,FALSE,108,16,92
"MLI_2","CA4",10,0.488774992260547,0.107341757000625,FALSE,106,16,90
"Pericytes","CA4",10,0.3738004976324,0.110174073692836,FALSE,102,16,86
"Microglia","CA3",10,-0.222979577219717,0.116688725895389,FALSE,108,16,92
"Granule","CA4",10,0.335413933501184,0.118664558564119,FALSE,109,16,93
"Purkinje","CA3",10,-0.267875324971061,0.120795585066995,FALSE,108,16,92
"Golgi","TET3",10,-0.160983023066409,0.134329133802335,FALSE,106,16,90
"Oligodendrocytes","ADCY10",10,0.321230141622777,0.136199941896058,FALSE,108,16,92
"Purkinje","TET3",10,-0.134817517610578,0.152429268018197,FALSE,108,16,92
"Microglia","CA4",10,0.330980134428527,0.1561390908406,FALSE,108,16,92
"Oligodendrocytes","TET3",10,-0.107355322250617,0.177865610565273,FALSE,108,16,92
"Bergmann","TET3",10,-0.0940349230428573,0.17915804532901,FALSE,108,16,92
"MLI_1","CA4",10,0.289179374710135,0.192658778917836,FALSE,108,16,92
"Endocytes","ADCY10",10,0.363933425189023,0.239847553563779,FALSE,107,16,91
"PLI","CA4",10,0.244079401629524,0.245732378200919,FALSE,107,16,91
"Astrocytes","ADCY10",10,-0.257001130122086,0.245770840092922,FALSE,108,16,92
"Golgi","CA3",10,-0.174083595816448,0.246144477796241,FALSE,106,16,90
"MLI_2","ADCY10",10,-0.387487902611758,0.248691122146779,FALSE,106,16,90
"Bergmann","CA4",10,0.262913599397797,0.271314535554945,FALSE,108,16,92
"Endocytes","CA4",10,0.22847789964706,0.318843394526854,FALSE,107,16,91
