"cell_type","minimum_nuclei","donors","et_donors","control_donors","genes_before_filter","genes_after_filterByExpr","design_rows","design_columns","design_rank","minimum_library_size","maximum_library_size"
"Astrocytes",10,108,16,92,49401,12099,108,6,6,36628,8190642
"Astrocytes",20,108,16,92,49401,12099,108,6,6,36628,8190642
"Astrocytes",30,107,16,91,49401,12146,107,6,6,69320,8190642
"Bergmann",10,108,16,92,49401,16701,108,6,6,135588,24722881
"Bergmann",20,108,16,92,49401,16701,108,6,6,135588,24722881
"Bergmann",30,108,16,92,49401,16701,108,6,6,135588,24722881
"Endocytes",10,107,16,91,49401,9584,107,6,6,22758,2606022
"Endocytes",20,103,16,87,49401,9969,103,6,6,22758,2606022
"Endocytes",30,99,16,83,49401,10122,99,6,6,56740,2606022
"Golgi",10,106,16,90,49401,8801,106,6,6,25122,2416978
"Golgi",20,106,16,90,49401,8801,106,6,6,25122,2416978
"Golgi",30,105,16,89,49401,8846,105,6,6,41148,2416978
"Granule",10,109,16,93,49401,21683,109,6,6,62757,82488760
"Granule",20,109,16,93,49401,21683,109,6,6,62757,82488760
"Granule",30,109,16,93,49401,21683,109,6,6,62757,82488760
"MLI_1",10,108,16,92,49401,12906,108,6,6,50785,6744359
"MLI_1",20,108,16,92,49401,12906,108,6,6,50785,6744359
"MLI_1",30,108,16,92,49401,12906,108,6,6,50785,6744359
"MLI_2",10,106,16,90,49401,9340,106,6,6,28771,1527570
"MLI_2",20,104,16,88,49401,9585,104,6,6,28771,1527570
"MLI_2",30,98,15,83,49401,10228,98,6,6,42799,1527570
"Microglia",10,108,16,92,49401,11143,108,6,6,20331,5843641
"Microglia",20,107,16,91,49401,11116,107,6,6,22857,5843641
"Microglia",30,105,16,89,49401,11282,105,6,6,35121,5843641
"OPC",10,108,16,92,49401,12372,108,6,6,18583,5680312
"OPC",20,107,16,91,49401,12381,107,6,6,49829,5680312
"OPC",30,106,16,90,49401,12433,106,6,6,49829,5680312
"Oligodendrocytes",10,108,16,92,49401,13492,108,6,6,25552,8914245
"Oligodendrocytes",20,107,16,91,49401,13470,107,6,6,31055,8914245
"Oligodendrocytes",30,106,16,90,49401,13569,106,6,6,53198,8914245
"PLI",10,107,16,91,49401,6596,107,6,6,11547,3129310
"PLI",20,105,16,89,49401,6804,105,6,6,15091,3129310
"PLI",30,98,16,82,49401,6853,98,6,6,25926,3129310
"Pericytes",10,102,16,86,49401,3330,102,6,6,16909,384210
"Pericytes",20,101,16,85,49401,3387,101,6,6,16909,384210
"Pericytes",30,91,16,75,49401,3313,91,6,6,22386,384210
"Purkinje",10,108,16,92,49401,9203,108,6,6,20078,2633873
"Purkinje",20,108,16,92,49401,9203,108,6,6,20078,2633873
"Purkinje",30,105,16,89,49401,9246,105,6,6,34431,2633873
"UBC",10,107,16,91,49401,6869,107,6,6,12735,1365644
"UBC",20,103,16,87,49401,6890,103,6,6,25736,1365644
"UBC",30,101,15,86,49401,6858,101,6,6,33754,1365644
