"cell_type","gene_symbol","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","nominal_p_lt_0_05","BH_FDR_full_transcriptome_within_cell_type_supplementary","BH_FDR_all_target_gene_cell_type_tests_supplementary","BH_FDR_prespecified_gene_cell_type_tests_supplementary","n_pseudobulk_samples","n_donors","n_et_donors","n_normal_donors","initial_consensus_correlation","final_consensus_correlation","all_form_union","all_form_core","circulating_conjugate_union","circulating_conjugate_core","prespecified_single_gene","B","analysis_type","omitted_et_donors","filter_pass_fraction","same_direction_fraction","nominal_p_lt_0_05_fraction","all_iterations_nominal_p_lt_0_05","maximum_nominal_p","minimum_logFC","maximum_logFC"
"MLI_1","TET3","ENSG00000187605",-0.160488504321547,-0.290026692277672,-0.0309503163654226,6.68959797934106,-2.44981115816766,0.0155498820423184,TRUE,0.277569032244822,0.181057821941018,0.960978091463526,133,108,16,92,0.208796668844919,0.208893644765407,TRUE,FALSE,TRUE,FALSE,TRUE,-3.23965023305294,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",16,1,1,0.875,FALSE,0.052119890838767,-0.18056301778229,-0.131481917516038
"Oligodendrocytes","CA13","ENSG00000185015",0.268145389630702,-0.00879876437271926,0.545089543634124,3.89033502477362,1.91456441200453,0.0576276776637493,FALSE,0.332443285974324,0.342290832331188,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,TRUE,FALSE,TRUE,-4.31870533505186,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Purkinje","CA3","ENSG00000164879",-0.302698112088631,-0.645468562501133,0.0400723383238705,4.40541957861607,-1.74774127217301,0.082963093708477,FALSE,0.495451318530458,0.396825352341413,0.960978091463526,121,108,16,92,0.0712124456320508,0.0712425788161398,TRUE,FALSE,TRUE,FALSE,TRUE,-4.21750354724245,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Astrocytes","SIRT1","ENSG00000096717",-0.13717113422585,-0.30455640283912,0.0302141343874196,5.38594916764453,-1.62034989654992,0.107434048363539,FALSE,0.41783606261296,0.446027422099448,0.960978091463526,134,108,16,92,0.269165816412669,0.26902089105135,TRUE,FALSE,FALSE,FALSE,TRUE,-4.79508439149651,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"MLI_2","CA3","ENSG00000164879",0.361147263593703,-0.0861363871527021,0.808430914340108,4.35946099383523,1.59872557621328,0.112524847679597,FALSE,0.56231642902313,0.454134146212874,0.960978091463526,111,106,16,90,0.147495448276248,0.147618093114082,TRUE,FALSE,TRUE,FALSE,TRUE,-4.53708546566631,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Pericytes","IGF1R","ENSG00000140443",0.129510637430623,-0.0495861227902094,0.308607397651455,9.06148279474736,1.43151131397163,0.154840334511514,FALSE,0.578571482935377,0.523501345807626,0.960978091463526,106,102,16,86,0.108608045052118,0.108847184518681,TRUE,FALSE,TRUE,FALSE,TRUE,-5.2295533113281,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Golgi","TET3","ENSG00000187605",-0.144482628497213,-0.349925082349377,0.0609598253549503,6.76635992493626,-1.39162861382259,0.166462729270796,FALSE,0.536579322915339,0.538743593454684,0.960978091463526,119,106,16,90,0.0843378657773514,0.084327709538786,TRUE,FALSE,TRUE,FALSE,TRUE,-5.36034330444053,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","ADCY10","ENSG00000143199",0.262221686657382,-0.117341859029348,0.641785232344113,3.73664118103016,1.36607945964631,0.174146766455329,FALSE,0.517016670125914,0.55650055021845,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,FALSE,FALSE,TRUE,-5.10541419158407,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Microglia","ADCY10","ENSG00000143199",0.301271162814863,-0.179219714001757,0.781762039631484,3.91845513376092,1.24020920712754,0.217084153790357,FALSE,0.674651657363774,0.594711245506086,0.960978091463526,127,108,16,92,0.200947166454236,0.20114658349785,TRUE,FALSE,FALSE,FALSE,TRUE,-4.92646811348904,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","IGF1R","ENSG00000140443",-0.0670175246240154,-0.175426259038322,0.0413912097902915,8.64715213161305,-1.22215181447044,0.223694481350456,FALSE,0.563669964842221,0.607513430584483,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,FALSE,TRUE,FALSE,TRUE,-5.88624351811822,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
