Covariate,Cell Type,Final Parameter,HDI 2.5%,HDI 97.5%,SD,Inclusion probability,Expected Sample,log2-fold change,analysis_set,requested_reference,reference_cell_type,credible_effect_at_sccoda_estimated_fdr_0_05,sccoda_inclusion_probability_threshold
"C(condition, Treatment('control'))[T.case]",Astrocytes,0.0,-0.178,0.199,0.036,0.15366666666666667,310.64338971881443,0.028386691933150823,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",Bergmann,0.0,-0.242,0.07,0.045,0.2925333333333333,558.7184044104921,0.028386691933150823,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",Endocytes,0.0,-0.223,0.375,0.097,0.3672666666666667,98.7553517661118,0.028386691933150507,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",Golgi,0.0,-0.441,0.152,0.147,0.7100666666666666,297.56884126068394,0.028386691933150823,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",Granule,0.0,-0.184,0.068,0.054,0.33486666666666665,6352.766062363208,0.028386691933150823,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",MLI_1,0.0,-0.263,0.084,0.06,0.24826666666666666,355.18742127456625,0.028386691933150507,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",MLI_2,0.0,-0.484,0.19,0.116,0.30773333333333336,96.79986478308471,0.028386691933150823,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",Microglia,0.0,-0.152,0.26,0.067,0.3678,154.2609420543107,0.028386691933150823,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",OPC,0.0,-0.125,0.253,0.05,0.2726,225.57339831762442,0.028386691933150823,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",Oligodendrocytes,-0.08243517166401344,-0.312,0.162,0.118,0.8171333333333334,199.5790554484556,-0.09054212142135185,all_donors,automatic,Pericytes,True,0.817
"C(condition, Treatment('control'))[T.case]",PLI,0.0,-0.318,-0.0,0.049,0.0836,137.77826222592603,0.028386691933150507,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",Pericytes,0.0,0.0,0.0,0.0,0.0,98.45952966583043,0.028386691933150823,all_donors,automatic,Pericytes,False,0.817
"C(condition, Treatment('control'))[T.case]",Purkinje,-0.3454842883986329,-0.655,-0.062,0.169,0.9956,192.12790248411756,-0.4700417776446091,all_donors,automatic,Pericytes,True,0.817
"C(condition, Treatment('control'))[T.case]",UBC,-0.4990943452948788,-0.942,-0.039,0.232,0.9998666666666667,133.82744578640614,-0.6916542449594949,all_donors,automatic,Pericytes,True,0.817
"C(condition, Treatment('control'))[T.case]",Astrocytes,0.0,-0.079,0.217,0.063,0.5569333333333333,307.20324928504243,0.004121716319739732,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",Bergmann,0.0,-0.134,0.116,0.05,0.5906666666666667,562.0043433908673,0.004121716319739732,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",Endocytes,0.0,-0.185,0.251,0.095,0.6003333333333334,100.93831405416188,0.004121716319740052,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",Golgi,0.0,-0.372,0.12,0.118,0.6701333333333334,266.8027385228536,0.004121716319740052,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",Granule,0.0,-0.052,0.115,0.039,0.5714,6158.0138544864685,0.004121716319739732,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",MLI_1,0.0,-0.237,0.104,0.091,0.6838,359.4264542396086,0.004121716319740052,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",MLI_2,0.0,-0.3,0.152,0.072,0.2789333333333333,100.3344974311547,0.004121716319739732,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",Microglia,0.0,-0.162,0.051,0.014,0.05906666666666667,162.79790392261268,0.004121716319739732,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",OPC,0.0,0.0,0.0,0.0,0.0,349.50210282321603,0.004121716319740052,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",Oligodendrocytes,0.0,-0.152,0.174,0.076,0.7688666666666667,238.05686609823002,0.004121716319739732,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",PLI,0.0,-0.243,0.121,0.076,0.5231333333333333,133.95575760639954,0.004121716319740052,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",Pericytes,0.0,-0.18,0.127,0.031,0.171,66.18868840429938,0.004121716319740052,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",Purkinje,0.0,-0.479,-0.0,0.078,0.07253333333333334,300.8192476772728,0.004121716319740052,all_donors,OPC,OPC,False,0.772
"C(condition, Treatment('control'))[T.case]",UBC,-0.2220529974011283,-0.55,0.001,0.167,0.7721333333333333,106.00185361744488,-0.31623304184539736,all_donors,OPC,OPC,True,0.772
"C(condition, Treatment('control'))[T.case]",Astrocytes,0.0,-0.191,0.023,0.014,0.0398,332.2301252633555,-0.004214696325410562,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",Bergmann,0.0,-0.11,0.119,0.037,0.4600666666666667,532.6304676173635,-0.004214696325410722,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",Endocytes,0.0,-0.1,0.203,0.056,0.6274666666666666,97.88838266600614,-0.004214696325410562,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",Golgi,0.0,-0.405,0.0,0.048,0.044066666666666664,250.0917566648154,-0.004214696325410722,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",Granule,0.004557453599269489,-0.093,0.09,0.042,0.9695333333333334,5909.9067431982785,0.002360319381337126,all_donors,PLI,PLI,True,0.739
"C(condition, Treatment('control'))[T.case]",MLI_1,0.0,-0.078,0.044,0.029,0.5348666666666667,353.1270394026964,-0.004214696325410562,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",MLI_2,0.0,-0.221,0.193,0.057,0.33113333333333334,109.48941491967138,-0.004214696325410401,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",Microglia,0.0,-0.124,0.097,0.031,0.3208,162.03751413899403,-0.004214696325410562,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",OPC,0.0,-0.071,0.059,0.034,0.5659333333333333,419.40115700703615,-0.004214696325410401,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",Oligodendrocytes,0.0,-0.129,0.092,0.037,0.45866666666666667,247.10859038045328,-0.004214696325410722,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",PLI,0.0,0.0,0.0,0.0,0.0,139.04920693110472,-0.004214696325410883,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",Pericytes,0.0,-0.255,0.066,0.07,0.47806666666666664,114.98801173925773,-0.004214696325410401,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",Purkinje,0.0,-0.421,0.048,0.121,0.41933333333333334,428.3017100178787,-0.004214696325410401,all_donors,PLI,PLI,False,0.739
"C(condition, Treatment('control'))[T.case]",UBC,0.0,-0.58,0.109,0.173,0.5712666666666667,115.79575161272119,-0.004214696325410562,all_donors,PLI,PLI,False,0.739
