"NGenes","Direction","PValue","BH_FDR_five_sets_within_cell_type_supplementary","gene_set","Correlation","cell_type","minimum_nuclei","correlation_method","nominal_p_lt_0_05","n_donors","n_et_donors","n_control_donors","BH_FDR_70_tests_within_threshold_and_correlation_method_supplementary"
3,"Up",0.0525354294283177,0.262677147141588,"Carbonic anhydrase family",-0.0920601402609103,"Pericytes",10,"estimated",FALSE,102,16,86,0.954325131224468
7,"Up",0.0530117478178538,0.265058739089269,"Carbonic anhydrase family",-0.0174126544976124,"Endocytes",10,"estimated",FALSE,107,16,91,0.954325131224468
9,"Up",0.0633107299631956,0.316553649815978,"Carbonic anhydrase family",-0.0277497360838714,"Oligodendrocytes",10,"estimated",FALSE,108,16,92,0.954325131224468
12,"Up",0.067148179947129,0.335740899735645,"Carbonic anhydrase family",0.00669748399370763,"Granule",10,"estimated",FALSE,109,16,93,0.954325131224468
12,"Down",0.214622847437914,0.772136611866703,"Targets predicted for all chemical forms",0.00161486860901696,"Microglia",10,"estimated",FALSE,108,16,92,0.954325131224468
38,"Up",0.228567530233413,0.430093597475818,"Targets predicted for all sulfate and glucuronide conjugates",0.0133896111684735,"Granule",10,"estimated",FALSE,109,16,93,0.954325131224468
11,"Down",0.286634973405715,0.874692271417198,"Targets predicted for all chemical forms",-0.0173495551374417,"MLI_2",10,"estimated",FALSE,106,16,90,0.954325131224468
17,"Up",0.349555996936503,0.629596681657376,"Targets predicted for all sulfate and glucuronide conjugates",-0.0124517366992753,"UBC",10,"estimated",FALSE,107,16,91,0.954325131224468
9,"Up",0.350686453591867,0.856551768184421,"Carbonic anhydrase family",-0.0185563540460958,"Astrocytes",10,"estimated",FALSE,108,16,92,0.954325131224468
117,"Up",0.369032827770151,0.714148293800628,"Targets predicted for any chemical form",0.0126022307068471,"Bergmann",10,"estimated",FALSE,108,16,92,0.954325131224468
8,"Up",0.370941333679521,0.629596681657376,"Targets predicted for all chemical forms",-0.0384333057691298,"UBC",10,"estimated",FALSE,107,16,91,0.954325131224468
