cell_type,primary_logFC,primary_P.Value,primary_nominal_p_lt_0_05,primary_BH_FDR_supplementary,primary_mean_proportion_control,primary_mean_proportion_et,donor_total_logFC,donor_total_P.Value,donor_total_nominal_p_lt_0_05,donor_total_BH_FDR_supplementary,donor_total_mean_proportion_control,donor_total_mean_proportion_et,matched_logFC,matched_P.Value,matched_nominal_p_lt_0_05,matched_BH_FDR_supplementary,matched_mean_proportion_control,matched_mean_proportion_et,omitted_et_donors,primary_leave_one_et_out_same_direction_fraction,primary_leave_one_et_out_nominal_p_lt_0_05_fraction,primary_leave_one_et_out_maximum_nominal_p,primary_leave_one_et_out_minimum_logFC,primary_leave_one_et_out_maximum_logFC,sccoda_hmc_all_evaluable_reference_models,sccoda_hmc_all_credible_reference_models,sccoda_hmc_all_same_direction_across_references,sccoda_hmc_all_minimum_log2_fold_change,sccoda_hmc_all_maximum_log2_fold_change,sccoda_hmc_matched_evaluable_reference_models,sccoda_hmc_matched_credible_reference_models,sccoda_hmc_matched_same_direction_across_references,sccoda_hmc_matched_minimum_log2_fold_change,sccoda_hmc_matched_maximum_log2_fold_change,sccoda_hmc_da_all_evaluable_reference_models,sccoda_hmc_da_all_credible_reference_models,sccoda_hmc_da_all_same_direction_across_references,sccoda_hmc_da_all_minimum_log2_fold_change,sccoda_hmc_da_all_maximum_log2_fold_change,sccoda_hmc_da_matched_evaluable_reference_models,sccoda_hmc_da_matched_credible_reference_models,sccoda_hmc_da_matched_same_direction_across_references,sccoda_hmc_da_matched_minimum_log2_fold_change,sccoda_hmc_da_matched_maximum_log2_fold_change
Purkinje,-0.600685666371143,0.0002375732457137,True,0.0033260254399929,0.0393199972008929,0.0218283956839094,-0.307716136994048,0.0368607024821454,True,0.258024917375017,0.0393199972008929,0.0218283956839094,-0.511357236595903,0.233110541379771,False,0.644349526879765,0.0409514187110765,0.0218283956839094,16.0,1.0,1.0,0.0007188792834879,-0.676389076666203,-0.539221362894119,3,1,False,-0.4700417776446091,0.00412171631974,3,0,True,0.0,0.2230424265943201,3,0,False,-0.0090121720628216,0.0116183325131156,3,2,True,-0.9844966523419008,-0.0222928299700887
OPC,0.344320981640402,0.0006573001118628,True,0.0046011007830402,0.0331254593958313,0.03076929496722,0.109786923136857,0.296530444121877,False,0.830285243541257,0.0331254593958313,0.03076929496722,0.465560148246855,0.0393132721650496,True,0.275192905155347,0.0327576481885256,0.03076929496722,16.0,1.0,1.0,0.0025139952260298,0.303293298739266,0.38822336939939,2,0,False,-0.0042146963254104,0.0283866919331508,2,0,True,0.0052179240496619,0.2230424265943204,2,0,False,-0.0043417854927727,0.0116183325131156,2,0,False,-0.0222928299700885,0.0738564582266204
UBC,-0.669522432999622,0.0011337503161347,True,0.0052908348086288,0.0175097117694668,0.0091990921515866,-0.665231447365642,0.0008409129738419,True,0.0117727816337879,0.0175097117694668,0.0091990921515866,-0.556046005620717,0.154666997512993,False,0.541334491295475,0.0172871407925726,0.0091990921515866,16.0,1.0,1.0,0.0051546700520711,-0.774476080279129,-0.573425385267788,3,2,True,-0.6916542449594949,-0.0042146963254105,3,0,True,0.0,0.2230424265943201,3,2,True,-0.6259763549765496,-0.0043417854927729,3,2,True,-0.6529205722868261,-0.0222928299700881
Astrocytes,0.35046335238422,0.0025972722599971,True,0.0090904529099901,0.0437041286872751,0.0430777464437522,0.0963859459546259,0.371024576950615,False,0.865724012884768,0.0437041286872751,0.0430777464437522,0.716274298644965,0.0061957973474144,True,0.0867411628638024,0.042112497646926,0.0430777464437522,16.0,1.0,1.0,0.0107573860474237,0.294022800474348,0.391645263257549,3,0,False,-0.0042146963254105,0.0283866919331508,3,0,True,0.0,0.2230424265943204,3,0,False,-0.0090121720628218,0.0116183325131156,3,0,False,-0.0222928299700885,0.1833457117297786
Bergmann,0.377386510600786,0.0056805452606326,True,0.0159055267297713,0.102410182269857,0.0957789006379022,0.0171155870850057,0.908945769878725,False,0.908945769878725,0.102410182269857,0.0957789006379022,0.573891326005945,0.0858442289258615,False,0.40060640165402,0.0953030553240018,0.0957789006379022,16.0,1.0,1.0,0.0299879224606808,0.290059486396154,0.468428488248963,3,0,False,-0.0042146963254107,0.0283866919331508,3,0,True,0.0,0.2230424265943201,3,0,False,-0.0090121720628218,0.0116183325131153,3,2,False,-0.0718046701465211,0.1108586385603185
Golgi,-0.4576881680309,0.0086545590869971,True,0.0201939712029933,0.0244526068886358,0.0156651839099923,-0.204374176588893,0.239868922570309,False,0.830285243541257,0.0244526068886358,0.0156651839099923,-0.267616321479735,0.444125921537869,False,0.644349526879765,0.021957916969008,0.0156651839099923,16.0,1.0,1.0,0.0216968536468877,-0.558210768026375,-0.409218049289744,3,0,False,-0.0042146963254107,0.0283866919331508,3,0,True,0.0,0.2230424265943204,3,0,False,-0.0090121720628216,0.0116183325131156,3,2,True,-0.3972848857729061,-0.0222928299700882
MLI_2,-0.26302641345271,0.239652787125749,False,0.441918993210977,0.029357308222544,0.0139117291169752,-0.238715210044641,0.433557050977479,False,0.867114101954958,0.029357308222544,0.0139117291169752,-0.384033614941488,0.384262471091331,False,0.644349526879765,0.0306027279668717,0.0139117291169752,,,,,,,3,0,False,-0.0042146963254104,0.0283866919331508,3,0,True,0.0,0.2230424265943204,3,0,False,-0.0090121720628214,0.0116183325131156,3,2,True,-0.9239528983930309,-0.0222928299700885
MLI_1,-0.127927599998117,0.252525138977701,False,0.441918993210977,0.0570589067594098,0.0399602536870159,-0.142107184465448,0.268385887082306,False,0.830285243541257,0.0570589067594098,0.0399602536870159,-0.139159235305591,0.602917940413347,False,0.767350105980623,0.059148712125022,0.0399602536870159,,,,,,,3,0,False,-0.0042146963254105,0.0283866919331505,3,0,True,0.0,0.2230424265943204,3,0,False,-0.0090121720628218,0.0116183325131156,3,2,False,-0.2416014823704331,0.1833457117297786
Pericytes,0.16922716746125,0.316962133138433,False,0.493052207104229,0.0086734098043398,0.0068970069382166,0.102848876082107,0.589267195028172,False,0.908945769878725,0.0086734098043398,0.0068970069382166,0.234922514532891,0.460249662056975,False,0.644349526879765,0.0089973865083835,0.0068970069382166,,,,,,,2,0,False,-0.0042146963254104,0.00412171631974,2,0,True,0.0,0.0052179240496622,2,1,True,-0.7833710193446409,-0.0090121720628216,2,1,False,-0.0222928299700885,0.7097763568040103
Microglia,-0.0707936987871384,0.488779691543912,False,0.638886664807164,0.0264264002524534,0.0193601304206771,0.014754865941189,0.892999591412896,False,0.908945769878725,0.0264264002524534,0.0193601304206771,-0.0686358664832798,0.790285006397056,False,0.874133731618396,0.0263178029888637,0.0193601304206771,,,,,,,3,0,False,-0.0042146963254105,0.0283866919331508,3,1,False,-0.2049266336049506,0.2230424265943204,3,0,False,-0.0090121720628214,0.011618332513116,3,1,False,-0.0222928299700885,0.0738564582266204
