"cell_type","logFC","P.Value","nominal_p_lt_0_05","omitted_et_donor","main_logFC","same_direction_as_main"
"Purkinje",-0.676389076666203,4.72121391952767e-05,TRUE,"SK00016",-0.600685666371143,TRUE
"OPC",0.339107667391325,0.00120987738105442,TRUE,"SK00016",0.344320981640402,TRUE
"UBC",-0.686817016016158,0.00122225688993018,TRUE,"SK00016",-0.669522432999622,TRUE
"Astrocytes",0.391645263257549,0.0011339990556668,TRUE,"SK00016",0.35046335238422,TRUE
"Bergmann",0.44372019024498,0.00155948143524176,TRUE,"SK00016",0.377386510600786,TRUE
"Golgi",-0.526157721662733,0.00337129091641218,TRUE,"SK00016",-0.4576881680309,TRUE
"Purkinje",-0.595414289643582,0.000306294383347986,TRUE,"SK00028",-0.600685666371143,TRUE
"OPC",0.359325042680285,0.000443465595691253,TRUE,"SK00028",0.344320981640402,TRUE
"UBC",-0.659832723983235,0.00131853480828668,TRUE,"SK00028",-0.669522432999622,TRUE
"Astrocytes",0.385703958308451,0.000913857308150628,TRUE,"SK00028",0.35046335238422,TRUE
"Bergmann",0.410509271296019,0.00262700378777407,TRUE,"SK00028",0.377386510600786,TRUE
"Golgi",-0.458321589433626,0.00867579507950419,TRUE,"SK00028",-0.4576881680309,TRUE
"Purkinje",-0.600138611298216,0.000279326323137112,TRUE,"SK00136",-0.600685666371143,TRUE
"OPC",0.337967380495743,0.000960466494003378,TRUE,"SK00136",0.344320981640402,TRUE
"UBC",-0.630534626349282,0.00236891936500411,TRUE,"SK00136",-0.669522432999622,TRUE
"Astrocytes",0.321645203734821,0.00555369114757181,TRUE,"SK00136",0.35046335238422,TRUE
"Bergmann",0.379646825646105,0.00582240390125083,TRUE,"SK00136",0.377386510600786,TRUE
"Golgi",-0.453260813296317,0.0105280851656663,TRUE,"SK00136",-0.4576881680309,TRUE
"Purkinje",-0.610488758346178,0.000274973092167531,TRUE,"SK00143",-0.600685666371143,TRUE
"OPC",0.38822336939939,0.00015976149714101,TRUE,"SK00143",0.344320981640402,TRUE
"UBC",-0.681930353433359,0.00130156345498333,TRUE,"SK00143",-0.669522432999622,TRUE
"Astrocytes",0.340049561851566,0.00469635611706083,TRUE,"SK00143",0.35046335238422,TRUE
"Bergmann",0.468428488248963,0.000728096143235417,TRUE,"SK00143",0.377386510600786,TRUE
"Golgi",-0.480931080554343,0.00756452173844133,TRUE,"SK00143",-0.4576881680309,TRUE
"Purkinje",-0.563473264138334,0.000718879283487945,TRUE,"SK00162",-0.600685666371143,TRUE
"OPC",0.303293298739266,0.00251399522602984,TRUE,"SK00162",0.344320981640402,TRUE
"UBC",-0.711643005477763,0.000777887918526406,TRUE,"SK00162",-0.669522432999622,TRUE
"Astrocytes",0.31910145217312,0.00692132294835964,TRUE,"SK00162",0.35046335238422,TRUE
"Bergmann",0.342422223793945,0.0139472415516762,TRUE,"SK00162",0.377386510600786,TRUE
"Golgi",-0.409218049289744,0.0216968536468877,TRUE,"SK00162",-0.4576881680309,TRUE
"Purkinje",-0.539221362894119,0.000585743098853736,TRUE,"SK00181",-0.600685666371143,TRUE
"OPC",0.348754134877118,0.000789437882677475,TRUE,"SK00181",0.344320981640402,TRUE
"UBC",-0.732344482036544,0.000496181683504082,TRUE,"SK00181",-0.669522432999622,TRUE
"Astrocytes",0.337038072759831,0.00473529433573992,TRUE,"SK00181",0.35046335238422,TRUE
"Bergmann",0.358254463393971,0.0103036148520858,TRUE,"SK00181",0.377386510600786,TRUE
"Golgi",-0.458786232860399,0.00960341543732916,TRUE,"SK00181",-0.4576881680309,TRUE
"Purkinje",-0.602172642969383,0.00029401600006319,TRUE,"SK00383",-0.600685666371143,TRUE
"OPC",0.361417715264118,0.000448200774870934,TRUE,"SK00383",0.344320981640402,TRUE
"UBC",-0.708822149152399,0.000713560501992677,TRUE,"SK00383",-0.669522432999622,TRUE
"Astrocytes",0.38877004815627,0.000854815584115587,TRUE,"SK00383",0.35046335238422,TRUE
