Covariate,Cell Type,Final Parameter,HDI 2.5%,HDI 97.5%,SD,Inclusion probability,Expected Sample,log2-fold change,analysis_set,requested_reference,reference_cell_type,credible_effect_at_sccoda_estimated_fdr_0_05,sccoda_inclusion_probability_threshold
"C(condition, Treatment('control'))[T.case]",Astrocytes,0.0,-0.358,0.246,0.087,0.3738666666666667,379.4441165305916,0.22304242659432041,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Bergmann,0.0,-0.404,0.044,0.044,0.08246666666666666,1446.2182580038439,0.22304242659432014,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Endocytes,0.0,-0.206,0.181,0.043,0.1704,185.62106867429338,0.22304242659431986,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Golgi,0.0,-0.85,0.326,0.255,0.6749333333333334,371.18750174368466,0.22304242659432041,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Granule,-0.28247863437645976,-0.506,-0.044,0.119,0.9893333333333333,6076.770682422947,-0.18448809837768534,matched_donors,automatic,Pericytes,True,0.888
"C(condition, Treatment('control'))[T.case]",MLI_1,0.0,-0.592,0.194,0.161,0.4368666666666667,936.085979289033,0.22304242659432041,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",MLI_2,0.0,-0.824,0.238,0.189,0.3217333333333333,495.0740416499509,0.22304242659432041,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Microglia,0.0,-0.714,0.234,0.234,0.794,306.03740421339677,0.22304242659432041,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",OPC,0.0,-0.28,0.454,0.099,0.20666666666666667,383.6410425868183,0.22304242659432041,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Oligodendrocytes,0.0,-0.311,0.283,0.098,0.44766666666666666,323.9882761688688,0.22304242659432041,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",PLI,0.0,-0.417,0.068,0.091,0.29186666666666666,186.17876801104697,0.22304242659432014,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Pericytes,0.0,0.0,0.0,0.0,0.0,113.94402630299305,0.22304242659432014,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Purkinje,0.0,-1.193,0.139,0.416,0.7260666666666666,380.20376415806436,0.22304242659432014,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",UBC,0.0,-1.186,0.047,0.412,0.6208666666666667,279.41757024446883,0.22304242659432014,matched_donors,automatic,Pericytes,False,0.888
"C(condition, Treatment('control'))[T.case]",Astrocytes,0.0,-0.086,0.099,0.035,0.2912,449.711905777573,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",Bergmann,0.0,-0.209,0.335,0.089,0.5023333333333333,1105.00724264436,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",Endocytes,0.0,-0.176,0.263,0.061,0.3194666666666667,180.2973023986953,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",Golgi,0.0,-0.184,0.424,0.159,0.6838666666666666,306.00675239512714,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",Granule,0.0,-0.407,0.028,0.118,0.4876666666666667,6772.3753492239,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",MLI_1,0.0,-0.427,0.272,0.098,0.4226666666666667,767.092327039625,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",MLI_2,0.0,-0.952,0.002,0.292,0.49966666666666665,427.3516319449162,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",Microglia,0.0,-0.484,0.136,0.159,0.8543333333333333,241.1953457307043,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",OPC,0.0,0.0,0.0,0.0,0.0,370.03854221420966,0.0,matched_donors,OPC,OPC,False,0.869
"C(condition, Treatment('control'))[T.case]",Oligodendrocytes,0.0,-0.37,0.264,0.13,0.7124666666666667,377.13649150586053,0.0,matched_donors,OPC,OPC,False,0.869
