"cell_type","logFC","CI.L","CI.R","t","P.Value","nominal_p_lt_0_05","BH_FDR_supplementary","mean_proportion_control","mean_proportion_et","mean_proportion_difference_et_minus_control","mean_proportion_ratio_et_over_control","consensus_correlation","n_composition_samples","n_donors","n_et_donors","n_control_donors","model_type"
"Astrocytes",0.716274298644965,0.212533859963584,1.22001473732635,2.85314282902559,0.00619579734741446,TRUE,0.0867411628638024,0.042112497646926,0.0430777464437522,0.00096524879682619,1.02292072070669,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"OPC",0.465560148246855,0.0236795023227528,0.907440794170956,2.11408175745855,0.0393132721650496,TRUE,0.275192905155347,0.0327576481885256,0.03076929496722,-0.00198835322130555,0.939301099704648,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"Bergmann",0.573891326005945,-0.0837850188980113,1.2315676709099,1.75092845309351,0.0858442289258615,FALSE,0.40060640165402,0.0953030553240018,0.0957789006379022,0.00047584531390045,1.00499297018635,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"UBC",-0.556046005620717,-1.32871500381015,0.216622992568713,-1.44454760854636,0.154666997512993,FALSE,0.541334491295475,0.0172871407925726,0.00919909215158664,-0.00808804864098601,0.532134970262925,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"Purkinje",-0.511357236595903,-1.36203387400582,0.339319400814013,-1.20663112115414,0.233110541379771,FALSE,0.644349526879765,0.0409514187110765,0.0218283956839094,-0.019123023027167,0.533031488796878,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"Granule",-0.292168947799009,-0.87242001692989,0.288082121331873,-1.01034353822504,0.317000069776129,FALSE,0.644349526879765,0.56116945085724,0.641138625918769,0.079969175061529,1.14250450543836,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"Oligodendrocytes",0.228836269302069,-0.28060581622101,0.738278354825148,0.901324134736409,0.371563794309768,FALSE,0.644349526879765,0.0375828139526099,0.0367650055298199,-0.00081780842279007,0.978239829944046,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"MLI_2",-0.384033614941488,-1.26244002648892,0.494372796605946,-0.877583329877448,0.384262471091331,FALSE,0.644349526879765,0.0306027279668717,0.0139117291169752,-0.0166909988498965,0.454591144032488,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"Golgi",-0.267616321479735,-0.9639994397349,0.428766796775429,-0.77110820356307,0.444125921537869,FALSE,0.644349526879765,0.021957916969008,0.0156651839099923,-0.0062927330590157,0.713418487377585,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"Pericytes",0.234922514532891,-0.398702950003567,0.868547979069348,0.743948682775695,0.460249662056975,FALSE,0.644349526879765,0.00899738650838355,0.00689700693821663,-0.00210037957016692,0.766556703081519,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"MLI_1",-0.139159235305591,-0.672657074630471,0.39433860401929,-0.523395916244283,0.602917940413347,FALSE,0.767350105980623,0.059148712125022,0.0399602536870159,-0.019188458438006,0.675589581774027,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"Microglia",-0.0686358664832798,-0.583846918664173,0.446575185697613,-0.267311049463552,0.790285006397056,FALSE,0.874133731618396,0.0263178029888637,0.0193601304206771,-0.00695767256818655,0.735628670404947,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"Endocytes",-0.122336708275218,-1.14780039664252,0.903126980092087,-0.23947000639484,0.811695607931367,FALSE,0.874133731618396,0.0137457610960669,0.0108677490615354,-0.0028780120345315,0.790625487056152,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
"PLI",0.0289425720152937,-0.545043759171371,0.602928903201959,0.101178103188305,0.919797450940974,FALSE,0.919797450940974,0.012065666872832,0.0147808855326282,0.00271521865979624,1.22503676658851,0.23472065050453,50,32,16,16,"donor_by_sequencing_batch_blocked"
