"cell_type","logFC","CI.L","CI.R","t","P.Value","nominal_p_lt_0_05","BH_FDR_supplementary","mean_proportion_control","mean_proportion_et","mean_proportion_difference_et_minus_control","mean_proportion_ratio_et_over_control","consensus_correlation","n_composition_samples","n_donors","n_et_donors","n_control_donors","model_type"
"Purkinje",-0.600685666371143,-0.915502378665843,-0.285868954076443,-3.77209578600515,0.000237573245713784,TRUE,0.00332602543999298,0.0393199972008929,0.0218283956839094,-0.0174916015169834,0.555147437381144,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"OPC",0.344320981640402,0.148951502628051,0.539690460652753,3.48395091861024,0.000657300111862896,TRUE,0.00460110078304027,0.0331254593958313,0.03076929496722,-0.00235616442861128,0.928871494264989,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"UBC",-0.669522432999622,-1.06780713498301,-0.271237731016233,-3.32326313632617,0.00113375031613474,TRUE,0.00529083480862881,0.0175097117694668,0.00919909215158664,-0.00831061961788018,0.525370849771947,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"Astrocytes",0.35046335238422,0.124505241633603,0.576421463134837,3.06605495456615,0.00259727225999718,TRUE,0.00909045290999013,0.0437041286872751,0.0430777464437522,-0.00062638224352296,0.985667664306843,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"Bergmann",0.377386510600786,0.111746144524669,0.643026876676902,2.80839092629101,0.0056805452606326,TRUE,0.0159055267297713,0.102410182269857,0.0957789006379022,-0.00663128163195507,0.935247829024645,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"Golgi",-0.4576881680309,-0.797508002622556,-0.117868333439243,-2.66265061810637,0.00865455908699712,TRUE,0.0201939712029933,0.0244526068886358,0.0156651839099923,-0.00878742297864354,0.640634513176285,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"MLI_2",-0.26302641345271,-0.703377721050899,0.177324894145479,-1.18084608879042,0.239652787125749,FALSE,0.441918993210977,0.029357308222544,0.0139117291169752,-0.0154455791055688,0.473876181409989,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"MLI_1",-0.127927599998117,-0.348039680960449,0.0921844809642156,-1.14890899953088,0.252525138977701,FALSE,0.441918993210977,0.0570589067594098,0.0399602536870159,-0.0170986530723939,0.700333321413066,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"Pericytes",0.16922716746125,-0.163896983825106,0.502351318747605,1.00428548997462,0.316962133138433,FALSE,0.493052207104229,0.00867340980433986,0.00689700693821663,-0.00177640286612323,0.79518979199687,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"Microglia",-0.0707936987871384,-0.272427821484078,0.130840423909801,-0.694058108575024,0.488779691543912,FALSE,0.638886664807164,0.0264264002524534,0.0193601304206771,-0.00706626983177631,0.732605660844016,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"Endocytes",-0.136608674568651,-0.537834019517091,0.264616670379789,-0.673105503082021,0.501982379491343,FALSE,0.638886664807164,0.0133896999095878,0.0108677490615354,-0.00252195084805243,0.811649935018591,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"Granule",-0.0629533005455757,-0.300638217624748,0.174731616533597,-0.523578904170256,0.601387641404957,FALSE,0.70161891497245,0.556350050000327,0.641138625918769,0.0847885759184419,1.15240148880798,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"PLI",-0.0197179297514802,-0.236344337361918,0.196908477858958,-0.17993480434956,0.857460278034123,FALSE,0.886055888906317,0.0110205464026288,0.0147808855326282,0.00376033912999942,1.34121167795296,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
"Oligodendrocytes",-0.0158157859686458,-0.233606613814731,0.201975041877439,-0.143554381415663,0.886055888906317,FALSE,0.886055888906317,0.0372015924367501,0.0367650055298199,-0.000436586906930228,0.98826429519993,0.128933345276653,141,109,16,93,"donor_by_sequencing_batch_blocked"
