analysis_set,cell_type,evaluable_reference_models,credible_reference_models,same_direction_across_evaluable_references,minimum_log2_fold_change,maximum_log2_fold_change
all_donors,Astrocytes,3,0,False,-0.004214696325410562,0.028386691933150823
all_donors,Bergmann,3,0,False,-0.004214696325410722,0.028386691933150823
all_donors,Endocytes,3,0,False,-0.004214696325410562,0.028386691933150507
all_donors,Golgi,3,0,False,-0.004214696325410722,0.028386691933150823
all_donors,Granule,3,1,True,0.002360319381337126,0.028386691933150823
all_donors,MLI_1,3,0,False,-0.004214696325410562,0.028386691933150507
all_donors,MLI_2,3,0,False,-0.004214696325410401,0.028386691933150823
all_donors,Microglia,3,0,False,-0.004214696325410562,0.028386691933150823
all_donors,OPC,2,0,False,-0.004214696325410401,0.028386691933150823
all_donors,Oligodendrocytes,3,1,False,-0.09054212142135185,0.004121716319739732
all_donors,PLI,2,0,True,0.004121716319740052,0.028386691933150507
all_donors,Pericytes,2,0,False,-0.004214696325410401,0.004121716319740052
all_donors,Purkinje,3,1,False,-0.4700417776446091,0.004121716319740052
all_donors,UBC,3,2,True,-0.6916542449594949,-0.004214696325410562
matched_donors,Astrocytes,3,0,True,0.0,0.22304242659432041
matched_donors,Bergmann,3,0,True,0.0,0.22304242659432014
matched_donors,Endocytes,2,0,True,0.0,0.22304242659431986
matched_donors,Golgi,3,0,True,0.0,0.22304242659432041
matched_donors,Granule,3,1,False,-0.18448809837768534,0.005217924049662239
matched_donors,MLI_1,3,0,True,0.0,0.22304242659432041
matched_donors,MLI_2,3,0,True,0.0,0.22304242659432041
matched_donors,Microglia,3,1,False,-0.2049266336049506,0.22304242659432041
matched_donors,OPC,2,0,True,0.00521792404966192,0.22304242659432041
matched_donors,Oligodendrocytes,3,0,True,0.0,0.22304242659432041
matched_donors,PLI,3,0,True,0.0,0.22304242659432014
matched_donors,Pericytes,2,0,True,0.0,0.005217924049662239
matched_donors,Purkinje,3,0,True,0.0,0.22304242659432014
matched_donors,UBC,3,0,True,0.0,0.22304242659432014
