figure,panel,reference_paper,doi,reference_figure,presentation_structure,study_data,data_source,interpretation
Figure 1,Full figure,"Skuladottir et al., Communications Biology (2024)",10.1038/s42003-024-06207-4,Figure 1,Full-width study overview with quantitative study scales and separate analysis layers,"MiBioGen exposure GWAS, essential-tremor outcome GWAS, eight nonduplicate IVW instrument sets, metabolite association, target prediction, MAGMA and cerebellar expression","Skuladottir et al. (2024); Ning et al., Nature Communications (2023), Figure 1c",The graphical hierarchy is borrowed; all numerical values and associations are from the displayed analyses.
Figure 2,A,"Dekkers et al., Nature Genetics (2026)",10.1038/s41588-026-02512-2,Extended Data Figure 8,"Forest plot with aligned effect estimates, 95% confidence intervals and a separate P-value column",Eight IVW odds ratios after collapsing exact duplicate instrument sets,Microbial MR summary statistics,All eight associations met the prespecified nominal P < 0.05 inclusion criterion.
Figure 2,B,"Jurgens et al., Nature Genetics (2024)",10.1038/s41588-024-01975-5,Figure 4b,Multiple MR estimators displayed on a common odds-ratio scale,"IVW, MR-Egger, weighted-median and weighted-mode estimates for Faecalibacterium and Flavonifractor",Microbial MR estimator and sensitivity results,No pooled estimate across MR methods is shown.
Figure 2,C,"Wen et al., Nature Communications (2024)",10.1038/s41467-024-46796-6,Figure 5D,Paired SNP-exposure and SNP-outcome association plots with estimator slopes,Instrument effects and four MR estimator slopes for Faecalibacterium and Flavonifractor,Microbial MR harmonized instruments and estimator results,The panel visualizes estimator geometry and does not add a separate causal claim.
Figure 2,D,"Wen et al., Nature Communications (2024)",10.1038/s41467-024-46796-6,Figure 5B,Leave-one-out estimates aligned against the full inverse-variance-weighted estimate,Sequential SNP-exclusion estimates for Faecalibacterium and Flavonifractor,Microbial MR leave-one-out results,The dashed line is the full IVW estimate; no single-variant causal claim is made.
Figure 2,E,"Skuladottir et al., Communications Biology (2024)",10.1038/s42003-024-06207-4,Figure 3,Taxon-by-analysis matrix,"Eight microbial signals with sensitivity-analysis, case-control, gutMGene and pure-culture annotations",Microbial MR and external microbiome studies,Filled and open symbols denote the stated analysis or association; no composite score is calculated.
Figure 3,A,"Redan et al., Journal of Agricultural and Food Chemistry (2020)",10.1021/acs.jafc.0c05890,Figure 1,"Side-by-side chemical structures with names, formulae and identifiers",The open-chain acid CID 49831816 and phenyl-γ-valerolactone CID 45093080,PubChem and HMDB identifiers,The structures are chemically distinct and no direct conversion is asserted.
Figure 3,A,"Dong et al., Journal of the American Chemical Society (2025)",10.1021/jacs.4c09892,Figure 3F,Organism-aware catechin-metabolism branch,A separate Flavonifractor plautii pure-culture branch with catechin ring-fission products,"Kutschera et al., Journal of Applied Microbiology (2011), 10.1111/j.1365-2672.2011.05025.x",The pure-culture branch is not connected to CID 49831816 or the 105 predicted targets.
Figure 3,B,"Ning et al., Nature Communications (2023)",10.1038/s41467-023-42788-0,Figure 1b-c,Two source-specific inputs connected independently to one combined set,Ninety-eight SwissTargetPrediction genes and seven SEA genes forming a 105-gene union,SwissTargetPrediction and Similarity Ensemble Approach results,Observed overlap was zero.
Figure 3,C,"Daina et al., Nucleic Acids Research (2019)",10.1093/nar/gkz382,Figure 2,Probability-ranked display of the 15 highest-ranked predicted targets,The 15 highest-ranked SwissTargetPrediction genes with predicted probabilities,SwissTargetPrediction results,Carbonic anhydrases are highlighted as a standard protein family; no probability threshold is imposed.
