gene_symbol,magma_entrez_id,magma_chr,magma_start_build37,magma_stop_build37,magma_nsnps,magma_nparam,magma_sample_size_constant,magma_zstat,magma_pvalue,magma_bh_adjusted_p,magma_nominal_p_lt_0_05,magma_bh_adjusted_p_lt_0_05,included_in_autosomal_magma
CA3,761,8.0,86316056.0,86371269.0,85.0,10.0,1952653.0,6.4317,6.3087e-11,3.39092061e-07,True,True,True
CA2,760,8.0,86341131.0,86403721.0,85.0,9.0,1952653.0,6.407,7.4228e-11,3.39092061e-07,True,True,True
CA1,759,8.0,86230458.0,86325342.0,138.0,19.0,1952653.0,5.0396,2.3329e-07,0.0001937685531818,True,True,True
ADORA3,140,1.0,112015970.0,112141602.0,310.0,42.0,1952653.0,3.2194,0.00064224,0.057811091231527,True,False,True
HSD17B3,3293,9.0,98987588.0,99099662.0,379.0,35.0,1952653.0,3.1512,0.00081299,0.0637586535193133,True,False,True
NR1H3,10062,11.0,47234851.0,47300584.0,147.0,13.0,1952653.0,2.8402,0.002254,0.1140923601108033,True,False,True
IGF1R,3480,15.0,99157272.0,99517759.0,855.0,98.0,1952653.0,2.4419,0.0073049,0.1873863429752066,True,False,True
TTR,7276,18.0,29136730.0,29188987.0,112.0,10.0,1952653.0,2.4363,0.0074193,0.1873863429752066,True,False,True
AKR1C3,8644,10.0,5055958.0,5159878.0,497.0,40.0,1952653.0,1.9685,0.024508,0.3204492055674518,True,False,True
PTPN1,5770,20.0,49091858.0,49211299.0,271.0,19.0,1952653.0,1.9555,0.025263,0.3260016600846262,True,False,True
SIRT1,23411,10.0,69609427.0,69688147.0,170.0,15.0,1952653.0,1.6901,0.045506,0.4089774100294985,True,False,True
FYN,2534,6.0,111971535.0,112229655.0,529.0,29.0,1952653.0,1.5459,0.061059,0.4495349263285024,False,False,True
HSD17B2,3294,16.0,82033842.0,82142139.0,120.0,13.0,1952653.0,1.5301,0.063002,0.4566148822363203,False,False,True
SLC6A4,6532,17.0,28511337.0,28597986.0,129.0,20.0,1952653.0,1.491,0.067986,0.4705712795454545,False,False,True
EGFR,1956,7.0,55051678.0,55289262.0,497.0,70.0,1952653.0,1.4828,0.069063,0.4729522550486162,False,False,True
PDE4D,5144,5.0,58254865.0,59818925.0,3532.0,137.0,1952653.0,1.476,0.069977,0.4741095383475361,False,False,True
FFAR4,338557,10.0,95291422.0,95359829.0,207.0,23.0,1952653.0,1.4432,0.074476,0.4834704270021261,False,False,True
SGMS1,259230,10.0,52055345.0,52418737.0,852.0,36.0,1952653.0,1.4376,0.075269,0.4846174670658682,False,False,True
MAP2K1,5604,15.0,66644182.0,66793882.0,413.0,25.0,1952653.0,1.4051,0.079994,0.4951661117886179,False,False,True
ALK,238,2.0,29405640.0,30179477.0,2321.0,129.0,1952653.0,1.322,0.093087,0.5131924659227985,False,False,True
CYP1B1,1545,2.0,38284746.0,38338323.0,169.0,20.0,1952653.0,1.291,0.098356,0.5195892419774502,False,False,True
TACR2,6865,10.0,71153958.0,71211674.0,177.0,14.0,1952653.0,1.2296,0.10942,0.5319484107190237,False,False,True
PDE4B,5142,1.0,66223193.0,66850262.0,1278.0,61.0,1952653.0,1.1529,0.12448,0.548454251626898,False,False,True
PTK2,5747,8.0,141658481.0,142046412.0,605.0,14.0,1952653.0,1.1289,0.12947,0.5557270236700258,False,False,True
IAPP,3375,12.0,21490802.0,21542914.0,197.0,23.0,1952653.0,1.1181,0.13176,0.5587492411232304,False,False,True
NR3C1,2908,5.0,142647496.0,143148322.0,1001.0,67.0,1952653.0,1.096,0.13653,0.5644638743218807,False,False,True
TET2,54790,4.0,106032032.0,106210960.0,315.0,28.0,1952653.0,1.0783,0.14044,0.5694659481037925,False,False,True
MMP12,4321,11.0,102723464.0,102780764.0,124.0,21.0,1952653.0,1.0656,0.14331,0.5728649280104713,False,False,True
KAT2B,8850,3.0,20046524.0,20205896.0,559.0,33.0,1952653.0,1.0264,0.15235,0.5824757375679064,False,False,True
TRPA1,8989,8.0,72923486.0,73022819.0,412.0,33.0,1952653.0,0.99468,0.15995,0.5899558039136574,False,False,True
PPARG,5468,3.0,12294349.0,12485855.0,457.0,31.0,1952653.0,0.96426,0.16746,0.5984950809124586,False,False,True
CA7,766,16.0,66843282.0,66898052.0,65.0,6.0,1952653.0,0.89081,0.18652,0.6139938677715726,False,False,True
PTGS1,5742,9.0,125097809.0,125167982.0,158.0,21.0,1952653.0,0.88105,0.18914,0.6175013793103449,False,False,True
LCK,3932,1.0,32681840.0,32761766.0,74.0,13.0,1952653.0,0.87793,0.18999,0.6187287952236677,False,False,True
KDM6B,23135,17.0,7702521.0,7768118.0,79.0,18.0,1952653.0,0.84759,0.19833,0.6262457387247279,False,False,True
ESRRA,2101,11.0,64037990.0,64094215.0,56.0,12.0,1952653.0,0.83949,0.2006,0.627866413769481,False,False,True
CA4,762,17.0,58192302.0,58246907.0,42.0,9.0,1952653.0,0.74534,0.22803,0.6511630239099859,False,False,True
CNR1,1268,6.0,88839583.0,88911063.0,227.0,34.0,1952653.0,0.71992,0.23579,0.6576550869963369,False,False,True
CYP19A1,1588,15.0,51490254.0,51665795.0,428.0,33.0,1952653.0,0.7162,0.23693,0.6587677860620815,False,False,True
TYR,7299,11.0,88876040.0,89038927.0,358.0,14.0,1952653.0,0.68508,0.24665,0.6659697296498744,False,False,True
FDPS,2224,1.0,155243539.0,155300457.0,59.0,4.0,1952653.0,0.67518,0.24978,0.6687185904371984,False,False,True
MMP10,4319,11.0,102631233.0,102686359.0,183.0,34.0,1952653.0,0.61918,0.2679,0.6826574675777438,False,False,True
SHBG,6462,17.0,7482382.0,7546700.0,136.0,16.0,1952653.0,0.61515,0.26923,0.6832149160305344,False,False,True
NR1H4,9971,12.0,100832486.0,100967645.0,139.0,26.0,1952653.0,0.61074,0.27069,0.6839741565265486,False,False,True
KDM4E,390245,11.0,94723422.0,94770760.0,87.0,12.0,1952653.0,0.58689,0.27864,0.688132391568707,False,False,True
ESR2,2100,14.0,64683751.0,64840268.0,325.0,22.0,1952653.0,0.57247,0.2835,0.6893893493013972,False,False,True
MCL1,4170,1.0,150537027.0,150587214.0,75.0,9.0,1952653.0,0.55231,0.29037,0.6942209878320031,False,False,True
APEX1,328,14.0,20888290.0,20935931.0,179.0,30.0,1952653.0,0.48093,0.31528,0.7100938233119763,False,False,True
HTR2B,3357,2.0,231962944.0,232024926.0,53.0,12.0,1952653.0,0.45456,0.32471,0.7145639942252165,False,False,True
SGMS2,166929,4.0,108710721.0,108846203.0,247.0,38.0,1952653.0,0.44201,0.32924,0.7149615221007605,False,False,True
TET3,200424,2.0,74177211.0,74345303.0,283.0,20.0,1952653.0,0.43351,0.33232,0.7172373709696469,False,False,True
APP,351,21.0,27242861.0,27578446.0,752.0,52.0,1952653.0,0.3687,0.35618,0.7250922958106457,False,False,True
DUSP3,1845,17.0,41833489.0,41891368.0,118.0,11.0,1952653.0,0.35563,0.36106,0.7263341507980187,False,False,True
BCHE,590,3.0,165480692.0,165590260.0,325.0,19.0,1952653.0,0.33582,0.3685,0.7304047652098471,False,False,True
FFAR1,2864,19.0,35806645.0,35854764.0,136.0,35.0,1952653.0,0.26058,0.39721,0.7459342994379152,False,False,True
SLC6A3,6531,5.0,1382905.0,1480543.0,250.0,35.0,1952653.0,0.2572,0.39851,0.7459342994379152,False,False,True
HSD11B1,3290,1.0,209824525.0,209918295.0,154.0,19.0,1952653.0,0.2299,0.40908,0.7517971276274766,False,False,True
MMP8,4317,11.0,102572526.0,102630734.0,245.0,31.0,1952653.0,0.22475,0.41109,0.7532345317826349,False,False,True
TET1,80312,10.0,70285117.0,70464239.0,492.0,20.0,1952653.0,0.12757,0.44924,0.7735002034473015,False,False,True
TLR4,7099,9.0,120431453.0,120489769.0,136.0,19.0,1952653.0,0.1232,0.45097,0.7745129557621865,False,False,True
ADRA2A,150,10.0,112801790.0,112850665.0,71.0,15.0,1952653.0,0.10646,0.45761,0.777383687732342,False,False,True
ACHE,43,7.0,100477615.0,100528754.0,122.0,13.0,1952653.0,0.1061,0.45775,0.777383687732342,False,False,True
CA9,768,9.0,35638915.0,35691156.0,157.0,22.0,1952653.0,0.086902,0.46537,0.7805054464531522,False,False,True
HSD17B1,3292,17.0,40668984.0,40717232.0,79.0,11.0,1952653.0,0.069955,0.47211,0.7838150902330642,False,False,True
ALOX15,246,17.0,4524214.0,4580583.0,132.0,12.0,1952653.0,0.0022716,0.49909,0.798727585391487,False,False,True
SLC16A1,6566,1.0,113444469.0,113533975.0,102.0,11.0,1952653.0,0.0013258,0.49947,0.7988939606126915,False,False,True
